id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
531,29.0000000,20.4900000,1.0000000,-0.0000000,0.0000000,-1.0000000,91,90,0.9800000,0.4900000,703,524,friction,0.7000000,0,0,0
525,29.0000000,19.5100000,-1.0000000,-0.0000000,0.0000000,1.0000000,90,91,0.9800000,0.4900000,702,530,friction,0.7000000,0,0,0
530,29.0000000,19.5100000,1.0000000,0.0000000,0.0000000,1.0000000,91,90,0.9800000,0.4900000,703,525,friction,0.7000000,0,0,0
526,28.9929289,19.5070711,0.7071068,0.7071068,-0.7071068,0.7071068,90,374,0.6871068,0.3435534,706,2227,friction,0.7000000,0,0,0
2227,28.9929289,19.5070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,374,90,0.6871068,0.3435534,707,526,friction,0.7000000,0,0,0
527,28.5070711,19.9929289,0.7071068,0.7071068,0.7071068,-0.7071068,90,374,0.6871068,0.3435534,706,2232,friction,0.7000000,0,0,0
2232,28.5070711,19.9929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,374,90,0.6871068,0.3435534,707,527,friction,0.7000000,0,0,0
529,29.0070711,19.5070711,-0.7071068,0.7071068,0.7071068,0.7071068,91,373,0.6871068,0.3435534,710,2224,friction,0.7000000,0,0,0
2224,29.0070711,19.5070711,0.7071068,-0.7071068,0.7071068,0.7071068,373,91,0.6871068,0.3435534,711,529,friction,0.7000000,0,0,0
534,29.4929289,19.9929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,91,373,0.6871068,0.3435534,710,2225,friction,0.7000000,0,0,0
2225,29.4929289,19.9929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,373,91,0.6871068,0.3435534,711,534,friction,0.7000000,0,0,0
535,30.0070711,20.4929289,0.7071068,0.7071068,0.7071068,-0.7071068,92,94,0.6871068,0.3435534,722,550,friction,0.7000000,0,0,0
550,30.0070711,20.4929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,94,92,0.6871068,0.3435534,723,535,friction,0.7000000,0,0,0
536,30.0100000,20.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,92,2,0.9800000,0.4900000,716,2461,friction,0.7000000,0,0,0
2461,30.0100000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,92,0.9800000,0.4900000,717,536,friction,0.7000000,0,0,0
537,30.9900000,20.5000000,-0.0000000,-1.0000000,-1.0000000,0.0000000,92,2,0.9800000,0.4900000,716,2462,friction,0.7000000,0,0,0
2462,30.9900000,20.5000000,0.0000000,1.0000000,-1.0000000,0.0000000,2,92,0.9800000,0.4900000,717,537,friction,0.7000000,0,0,0
538,30.9929289,20.4929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,92,96,0.6871068,0.3435534,720,559,friction,0.7000000,0,0,0
559,30.9929289,20.4929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,96,92,0.6871068,0.3435534,721,538,friction,0.7000000,0,0,0
539,30.5070711,20.0070711,-0.7071068,0.7071068,0.7071068,0.7071068,92,96,0.6871068,0.3435534,720,564,friction,0.7000000,0,0,0
564,30.5070711,20.0070711,0.7071068,-0.7071068,0.7071068,0.7071068,96,92,0.6871068,0.3435534,721,539,friction,0.7000000,0,0,0
540,30.4929289,20.0070711,0.7071068,0.7071068,-0.7071068,0.7071068,92,94,0.6871068,0.3435534,722,551,friction,0.7000000,0,0,0
551,30.4929289,20.0070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,94,92,0.6871068,0.3435534,723,540,friction,0.7000000,0,0,0
542,30.0000000,20.4900000,-1.0000000,0.0000000,0.0000000,-1.0000000,93,94,0.9800000,0.4900000,726,549,friction,0.7000000,0,0,0
549,30.0000000,20.4900000,1.0000000,-0.0000000,0.0000000,-1.0000000,94,93,0.9800000,0.4900000,727,542,friction,0.7000000,0,0,0
543,30.0000000,19.5100000,-1.0000000,-0.0000000,0.0000000,1.0000000,93,94,0.9800000,0.4900000,726,548,friction,0.7000000,0,0,0
548,30.0000000,19.5100000,1.0000000,0.0000000,0.0000000,1.0000000,94,93,0.9800000,0.4900000,727,543,friction,0.7000000,0,0,0
544,29.9929289,19.5070711,0.7071068,0.7071068,-0.7071068,0.7071068,93,373,0.6871068,0.3435534,730,2221,friction,0.7000000,0,0,0
2221,29.9929289,19.5070711,-0.7071068,-0.7071068,-0.7071068,0.7071068,373,93,0.6871068,0.3435534,731,544,friction,0.7000000,0,0,0
545,29.5070711,19.9929289,0.7071068,0.7071068,0.7071068,-0.7071068,93,373,0.6871068,0.3435534,730,2226,friction,0.7000000,0,0,0
2226,29.5070711,19.9929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,373,93,0.6871068,0.3435534,731,545,friction,0.7000000,0,0,0
547,30.0070711,19.5070711,-0.7071068,0.7071068,0.7071068,0.7071068,94,372,0.6871068,0.3435534,734,2218,friction,0.7000000,0,0,0
2218,30.0070711,19.5070711,0.7071068,-0.7071068,0.7071068,0.7071068,372,94,0.6871068,0.3435534,735,547,friction,0.7000000,0,0,0
552,30.4929289,19.9929289,-0.7071068,0.7071068,-0.7071068,-0.7071068,94,372,0.6871068,0.3435534,734,2219,friction,0.7000000,0,0,0
2219,30.4929289,19.9929289,0.7071068,-0.7071068,-0.7071068,-0.7071068,372,94,0.6871068,0.3435534,735,552,friction,0.7000000,0,0,0
553,31.0070711,20.4929289,0.7071068,0.7071068,0.7071068,-0.7071068,95,97,0.6871068,0.3435534,746,568,friction,0.7000000,0,0,0
568,31.0070711,20.4929289,-0.7071068,-0.7071068,0.7071068,-0.7071068,97,95,0.6871068,0.3435534,747,553,friction,0.7000000,0,0,0
554,31.0100000,20.5000000,0.0000000,-1.0000000,1.0000000,0.0000000,95,2,0.9800000,0.4900000,740,2463,friction,0.7000000,0,0,0
