id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05053512240327053, 0.018706165698488115]",0.0002436,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, -8.585691155138765e-05, 0.00029616376201405434]",element_1.json,[]
2,"[0.049538835, 0.0301553398]",0.00028840000000000007,"[0, 0.007355930400000002, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0906027950788227, 0.02124257455399992]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.7654312565336806e-05, -4.4541961990597925e-05, 0.029034160768790968]",element_3.json,[]
4,"[0.030579140061653597, 0.02124482379062364]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-8.314098631737023e-08, 6.913199919685518e-07, 0.00033106711879587753]",element_4.json,[]
5,"[0.010578979024725937, 0.021241749270142208]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-5.474352692839547e-10, -2.2494963459841562e-09, 2.144992825611252e-06]",element_5.json,[]
6,"[0.020579640608642234, 0.021245381362803514]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-7.899453359001986e-08, 2.765163367858063e-08, 0.00031318155298673826]",element_6.json,[]
7,"[0.0505794737238512, 0.021249001539125727]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[0.0, 0.0, 0.0]",element_7.json,[]
8,"[0.04057940295762877, 0.021235882890658513]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-6.905603636427875e-07, 5.968185013670938e-07, 0.0033517552803534194]",element_8.json,[]
9,"[0.05960821924340561, 0.021234010906023854]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[9.647555011616296e-05, -0.00019201721882631333, 0.14746029819762]",element_9.json,[]
10,"[0.08060919470932305, 0.02123764395101786]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[1.986567627922623e-05, -2.8314056933896366e-05, 0.02048054941659641]",element_10.json,[]
11,"[0.07060564451668576, 0.02123993337856631]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[3.0038659760121928e-05, -4.665572090931618e-05, 0.030798324947731034]",element_11.json,[]
12,"[0.09027029529128486, 0.020871125999347602]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.6869615512226396e-05, -3.4888109703635426e-05, 0.02903416076879097]",element_12.json,[]
13,"[0.08027490802282093, 0.020867494965975224]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.2284821699557539e-05, -2.146768193167938e-05, 0.020480549416596404]",element_13.json,[]
