id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.049454023, 0.0192041067]",0.0002436,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[-8.155031345671965e-09, 2.1825175097117154e-06, 1.9832973453802692e-06]",element_1.json,[]
2,"[0.049538835, 0.0301553398]",0.00028840000000000007,"[0, 0.007355930400000002, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.09057943430000001, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.541174489747904e-09, 7.777344622291247e-09, -6.619103981555387e-06]",element_3.json,[]
4,"[0.0305794343, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[3.324157038197093e-09, 3.768797894681157e-09, 6.681768896554972e-07]",element_4.json,[]
5,"[0.010579434300000001, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[3.3813887549104333e-09, 3.8368098991622915e-09, 6.80544957863119e-07]",element_5.json,[]
6,"[0.0205794343, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[3.3528394323883148e-09, 3.8029849106987395e-09, 6.74245396621106e-07]",element_6.json,[]
7,"[0.050579434300000004, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.6877990392213724e-09, 3.7470693507957e-09, 3.071893734970576e-07]",element_7.json,[]
8,"[0.0405794343, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.869519783750825e-09, 3.9650211208359215e-09, 1.0951643619923625e-06]",element_8.json,[]
9,"[0.0594205657, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-2.8495430016040287e-09, 3.9040587113871555e-09, -1.032424813915253e-06]",element_9.json,[]
10,"[0.0805794343, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.5649713992345847e-09, 7.850914816819166e-09, -6.681846672362983e-06]",element_10.json,[]
11,"[0.07057943430000001, 0.021248946100000003]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.588999936120883e-09, 7.924551678313597e-09, -6.744768879042314e-06]",element_11.json,[]
12,"[0.09024661310000001, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-4.476466623760526e-08, 3.382570700458598e-07, -5.414468410366032e-05]",element_12.json,[]
13,"[0.0802466131, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-4.518883783584768e-08, 3.414520401729768e-07, -5.466300666680772e-05]",element_13.json,[]
14,"[0.0102466131, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-1.284496940160562e-08, 3.021941022948774e-07, 4.3597141652413665e-05]",element_14.json,[]
15,"[0.0202466131, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-1.271608140090374e-08, 2.995443046308313e-07, 4.321751844420867e-05]",element_15.json,[]
16,"[0.0502466131, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-2.849366165380734e-08, 2.984124232249591e-07, 4.078207237158616e-06]",element_16.json,[]
17,"[0.030246613100000003, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-1.2599756561146134e-08, 2.968884678862132e-07, 4.2843542370786313e-05]",element_17.json,[]
18,"[0.0402466131, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-3.4799760902924546e-08, 3.2285208179603403e-07, 4.732988933087091e-05]",element_18.json,[]
19,"[0.059753386900000004, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[3.315759803808635e-08, 3.1712152615052104e-07, -4.4860307188694784e-05]",element_19.json,[]
20,"[0.07024661310000001, 0.0208712725]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[-4.561028987896247e-08, 3.4464942150527423e-07, -5.518361777967717e-05]",element_20.json,[]
21,"[0.0907295139, 0.019352900699999998]",2.3330874000000002e-08,"[0, 4.119765730920001e-07, 0]","[0, 0, 0]",mortar,"[1.537015141570787e-07, 1.574143094012899e-06, 1.591444765995454e-06]",element_21.json,[]
22,"[0.08072951390000001, 0.019352900699999998]",2.3330874000000002e-08,"[0, 4.119765730920001e-07, 0]","[0, 0, 0]",mortar,"[1.5518681093196796e-07, 1.589024862234647e-06, 1.5649718278897732e-06]",element_22.json,[]
23,"[0.0507295139, 0.019352900699999998]",2.3330874000000002e-08,"[0, 4.119765730920001e-07, 0]","[0, 0, 0]",mortar,"[-1.0373186173288035e-08, 1.3983730948552221e-06, 0.00014832367097370702]",element_23.json,[]
24,"[0.0307295139, 0.019352900699999998]",2.3330874000000002e-08,"[0, 4.119765730920001e-07, 0]","[0, 0, 0]",mortar,"[1.7247479518253287e-08, 1.2510574100652872e-06, 0.0002611921480122597]",element_24.json,[]
