id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05093512240327054, 0.018653917222111994]",0.0002436,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 5.9472143963289134e-05, -0.0006654417541590419]",element_1.json,[]
2,"[0.049538835, 0.0301553398]",0.00028840000000000007,"[0, 0.007355930400000002, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.09063800794851103, 0.021244309655347626]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.26772765860237e-06, 5.007892853036801e-06, -0.008833729412005234]",element_3.json,[]
4,"[0.03057914680856301, 0.021248094163263325]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.9822403343831366e-07, 3.337544452969685e-08, 0.00040978103410579145]",element_4.json,[]
5,"[0.010579566652793644, 0.02124655977510927]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[7.575130825201748e-07, 2.0128665208773157e-07, 0.0013867957715342476]",element_5.json,[]
6,"[0.020579739283099044, 0.0212481810065562]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[2.552604551003656e-07, 2.493522918593905e-08, 0.00033991194935913593]",element_6.json,[]
7,"[0.05057941697695543, 0.021248948197043704]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[-3.240396113692065e-08, 2.785684472171278e-08, -1.4915097834410173e-05]",element_7.json,[]
8,"[0.04057790204500424, 0.02124659678671651]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[8.960046750404947e-07, 6.956380801791471e-08, 0.0009108689739172953]",element_8.json,[]
9,"[0.059647173919088074, 0.02117264990749047]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[9.450493709993816e-06, -3.2127196390148406e-05, -0.02883538613234022]",element_9.json,[]
10,"[0.08064711359035148, 0.02121696626922586]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[7.019633859942117e-06, 2.607912658432282e-05, -0.025731596340575084]",element_10.json,[]
11,"[0.07064391528143676, 0.021237807313919416]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[1.1428937185390031e-05, 4.7123383627226684e-07, -0.00846497383985179]",element_11.json,[]
12,"[0.09030508457145132, 0.020872723452427914]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[4.992075591570519e-06, 1.9124011510247293e-06, -0.0077844324847420425]",element_12.json,[]
