id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[0.09000701028237144, 0.021492855566847716]",3,12,"[0.7000274, -0.714116]","[0.714116, 0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d06740df0>,0.0010346769,0.0005173385000000001,10,56,0.0010448089132344969,-0.0010614541327919106,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[2.4250117983126707e-08, -3.23245713286513e-08]","[0, 0]"
56,"[0.09000697744842397, 0.021493252265183473]",12,3,"[0.7000274, -0.714116]","[-0.714116, -0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125700>,0.0010346769,0.0005173385000000001,11,1,0.0010425553209115893,0.001062538863381848,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[1.436067090937465e-07, -2.5858227236524867e-08]","[0, 0]"
2,"[0.09001000973725154, 0.021499996869806724]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125940>,0.00098,0.00049,4,8605,-0.006922421364103328,-0.0020571039183834737,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[2.3796454917679455e-08, -3.213404295432376e-08]","[0, 3.1301932781890862e-09]"
8605,"[0.09001, 0.021500000000000002]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d581259a0>,0.00098,0.00049,5,2,-0.0035804537257073947,-0.0016346169471326043,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 3.1301932781890862e-09]"
3,"[0.09099000973667423, 0.02150003050782015]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125a60>,0.00098,0.00049,4,8606,0.03285614641779353,0.014607472076219577,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[2.3792340625439223e-08, 3.01212454353883e-08]","[0, 0]"
8606,"[0.09099, 0.021500000000000002]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125b20>,0.00098,0.00049,5,3,0.004036909807484091,-0.0016832349786106476,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 0]"
4,"[0.09099672786089955, 0.021490584738410864]",3,184,"[-0.3282163, -0.9446026]","[-0.9446026, 0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125be0>,0.0007773316999999999,0.00038866590000000004,8,1087,0.0027603256692948024,-0.003909728252062346,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[2.439237717366538e-08, 3.054803874094625e-08]","[0, 0]"
1087,"[0.09099643940423309, 0.02149142117619498]",184,3,"[-0.3282163, -0.9446026]","[0.9446026, -0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125ca0>,0.0007773316999999999,0.00038866590000000004,9,4,0.002768825601663075,0.003906295347373242,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[-1.44335598431522e-07, 5.31584011226327e-07]","[0, 0]"
5,"[0.09074162016448929, 0.020756306381533293]",3,184,"[0.3282163, 0.9446026]","[-0.9446026, 0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125d60>,0.0007773316999999999,0.00038866590000000004,8,1092,-0.005458426904127659,0.002190495051219727,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[7.103851533407646e-08, 1.4343598669919189e-08]","[0, 3.0848705630219186e-07]"
1092,"[0.09074213997618802, 0.020756862503900846]",184,3,"[0.3282163, 0.9446026]","[0.9446026, -0.3282163]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125e20>,0.0007773316999999999,0.00038866590000000004,9,5,-0.005454570017315606,-0.0021940873092505357,0.94,0.007345784564999999,37.800000000000004,14000,False,False,False,False,False,"[9.719756836612525e-07, 1.4607370864630487e-07]","[0, 3.0848705630219186e-07]"
6,"[0.09073133784360989, 0.020754001128596374]",3,12,"[-0.7000274, 0.714116]","[0.714116, 0.7000274]",<Kinematics.entity.conttype.ContType object at 0x7f6d58125ee0>,0.0010346769,0.0005173385000000001,10,57,0.0086679490551121,0.0010626798324582477,0.94,0.009777696705000002,37.800000000000004,14000,False,False,False,False,False,"[7.118497911962063e-08, 1.369041061766163e-08]","[0, 0]"
