force_capacity_MPa,nc_dx_m,ltp_dy_m,rtp_dy_m,nc_cx_m,rtp_dx_m,time_per_step_s
0.0,-1.238205365471845e-08,2.2761228603146444e-06,2.0781810262972267e-06,9.987617946345282e-06,-6.881615652321038e-09,1.402369499206543
0.07142857142857144,3.938023301425556e-06,9.026330696805529e-07,1.5292845509731756e-06,1.3925641247770838e-05,3.939060640237302e-06,1.344480037689209
0.14285714285714288,6.7965432279620645e-06,7.280398486367301e-07,1.5316102150442212e-06,2.0722184475732903e-05,7.533191695968666e-06,1.2617554664611816
0.21428571428571427,6.252264691628635e-06,2.8099836347772467e-06,4.059318900309639e-06,2.6974449167361538e-05,1.5459920433197327e-05,1.3960521221160889
0.28571428571428575,2.789907499041737e-06,4.873431589391686e-07,9.27719242244801e-06,2.9764356666403275e-05,2.74692087487427e-05,1.4148979187011719
0.35714285714285715,1.3630233699365134e-06,-1.6745512793417405e-06,2.0631648764136284e-05,3.112738003633979e-05,2.1709192599084215e-05,1.3496756553649902
0.42857142857142855,1.0754908199867713e-07,-2.8381847618011435e-06,7.1514656563125e-06,3.1234929118338466e-05,3.893674472510433e-05,1.4457454681396484
0.5,-1.4430695658817615e-07,-1.9613736576516716e-06,1.0944087756935977e-05,3.109062216175029e-05,9.92253371324553e-05,1.4655652046203613
0.5714285714285715,-5.617790013065461e-07,-6.528654760799835e-07,1.5562638556197717e-05,3.052884316044374e-05,0.0001649415111332625,1.5290412902832031
0.5416750969776521,-5.552052669518159e-05,6.276312103398185e-06,4.0628802269210285e-05,-2.499168353473785e-05,4.652688179948572e-05,3.766528367996216
0.5644538625023532,-4.066905757323298e-05,1.516714479340639e-05,-2.0785973363204868e-05,-6.566074110797083e-05,-1.872123445226248e-06,3.3376264572143555
0.5680305789868049,-1.5764154755041173e-05,1.983745260105904e-05,2.4184586257518237e-05,-8.1424895863012e-05,1.7971422036383577e-05,2.5756983757019043
0.32881189646234776,1.0180784569571895e-05,1.9258307210591463e-05,1.2267783716241043e-06,-7.12441112934401e-05,4.192356903287564e-05,2.607466459274292
0.30139266633359246,1.3389885204794384e-05,2.0874615956820858e-05,1.4004939832376606e-05,-5.785422608864572e-05,6.501673764258697e-05,2.745313882827759
0.24939646773999927,2.5205229613480722e-05,-0.00010985613365314256,1.0741340432912638e-05,-3.2648996475165e-05,0.00010474243784501513,2.6763336658477783
0.21916813016986747,7.613253827192104e-05,-2.9225125640106736e-05,-2.916803383103475e-05,4.3483541796756036e-05,0.00010352325308993215,2.771958351135254
0.24935231664180185,1.979457421332208e-05,8.910584115784381e-05,3.58409510185613e-05,6.327811601007812e-05,0.00018498408438441527,3.1131739616394043
0.21096748981500946,-6.503817745644788e-07,-3.73807803858775e-05,3.0739449132472646e-05,6.262773423551364e-05,-1.6682967477907318e-05,2.8011062145233154
0.1707131011167901,4.2569930500903114e-05,-9.887663649643663e-05,4.4437994750401444e-05,0.00010519766473641675,0.00010302324482326652,2.540982484817505
0.2213974583884702,5.865260597610867e-05,7.796086980092071e-05,-8.455982529704392e-06,0.00016385027071252542,0.00012995266637474967,2.6343414783477783
0.22873796281163866,1.1174357494870267e-05,5.200044249704938e-05,7.610378995501904e-05,0.00017502462820739569,3.0250468485273907e-05,2.7559235095977783
0.23225284215484268,7.952528030953036e-06,2.9869271532336622e-05,9.274756006751386e-05,0.00018297715623834872,9.251044156166621e-06,2.6741435527801514
0.2587666850480188,1.7830666167339428e-05,3.2949214157945717e-05,1.4293438895328359e-05,0.00020080782240568815,-1.7602265574151454e-06,3.429722785949707
0.23166110302319545,1.9457494506294e-05,3.558174031270331e-05,4.316800562052456e-05,0.00022026531691198215,5.385924870723868e-05,3.127418279647827
0.24009520626210226,2.1176578958969716e-05,3.7681421297293405e-05,6.32351036559016e-05,0.00024144189587095187,5.226019962106809e-05,3.298039674758911
0.2278721942391234,2.336728484541331e-05,3.9517879401321926e-05,0.00011716445116716559,0.0002648091807163652,7.109484073725136e-05,2.680100202560425
0.2291899887164328,2.7013056469952135e-05,4.0988995728470645e-05,0.00011476566809887762,0.0002918222371863173,9.972893875112576e-05,2.7063324451446533
0.22534613169473416,3.253047070548844e-05,4.2429496539767714e-05,0.00013023180341513105,0.00032435270789180575,9.96732267978806e-05,2.826969623565674
