id,center,mass,dl,ll,type,displacement,shape_file,contps
827,"[0.02923628065527445, 0.01730007632467612]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.00014053464412063437, 4.016080028795535e-05, 0.5459530162485435]",element_827.json,[]
828,"[0.02880088156938219, 0.016512732391636184]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[3.5131922838585024e-06, -8.03766744573593e-05, 0.23140223582584152]",element_828.json,[]
829,"[0.023317681104155493, 0.01674806272153219]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[2.711974128914511e-06, 6.466300230026733e-06, 0.017595614057906887]",element_829.json,[]
830,"[0.022286909889153366, 0.01775414688980681]",2.7023654000000003e-08,"[0, 4.771836823320001e-07, 0]","[0, 0, 0]",mortar,"[-2.235719578766355e-08, -2.2950055528873904e-08, 1.559829389327961e-06]",element_830.json,[]
831,"[0.019358989763283495, 0.0172772255540536]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[0.0001614109856838252, 7.759497997453205e-05, 0.6825894165173692]",element_831.json,[]
832,"[0.01879605757379741, 0.01647860968961192]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[5.35932571815061e-05, -9.531826769951028e-05, 0.15418793688056429]",element_832.json,[]
833,"[0.013326776322826807, 0.0167599425106083]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[-3.3943318335948505e-06, 4.693312920040623e-06, 0.011740717615153214]",element_833.json,[]
834,"[0.012285899803978298, 0.017754228961493763]",2.7023654000000003e-08,"[0, 4.771836823320001e-07, 0]","[0, 0, 0]",mortar,"[4.5396463694982715e-08, -5.429694341363952e-08, -6.171931785000913e-05]",element_834.json,[]
835,"[0.009538730992584595, 0.017209022082301222]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[-6.797896061712344e-05, -4.5473468758175596e-05, 0.6509592598918028]",element_835.json,[]
836,"[0.00880681769771448, 0.01630797623627552]",2.8072912000000004e-08,"[0, 4.957114800960001e-07, 0]","[0, 0, 0]",mortar,"[1.0280166312499032e-05, -0.00012843429034807728, 0.19973199132395358]",element_836.json,[]
