id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.04946552297515178, 0.019208243147754288]",0.0002436,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[1.696280309086998e-05, -2.0262814710543497e-06, -9.327085117200731e-05]",element_1.json,[]
2,"[0.049538835, 0.0301553398]",0.00028840000000000007,"[0, 0.007355930400000002, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.09057949239668182, 0.02124896655628728]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[4.857171227668732e-08, 1.914837919156272e-08, -4.872128706812978e-05]",element_3.json,[]
4,"[0.030579462688716058, 0.021248957475446015]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[5.210939846395922e-08, -5.647751514432676e-09, -8.52926767162986e-05]",element_4.json,[]
5,"[0.010579463206890795, 0.021248956409033817]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[6.235284632633063e-08, -2.855517233284564e-08, -0.00013464563001096014]",element_5.json,[]
6,"[0.020579462931286263, 0.021248956948115436]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[5.608120691314842e-08, -1.4839410485949565e-08, -0.00010463164014103422]",element_6.json,[]
7,"[0.05057944698450185, 0.02124895582889621]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[1.2607170097303968e-08, 5.861313408934457e-09, -2.006933995504027e-05]",element_7.json,[]
8,"[0.04057946797841659, 0.021248955372027444]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[1.111730815170319e-07, -9.118803488275901e-08, -0.00029402789655618144]",element_8.json,[]
9,"[0.059420610528722786, 0.021248930792579293]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[5.296597573154486e-08, -5.818992777788296e-08, -0.00012149454816215941]",element_9.json,[]
10,"[0.08057949276442167, 0.021248965436287428]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[4.459289701124382e-08, 1.606078362165853e-08, -4.2869583540247535e-05]",element_10.json,[]
11,"[0.07057949313071951, 0.02124896428549284]",5.2721312e-08,"[0, 9.309529272960001e-07, 0]","[0, 0, 0]",mortar,"[4.076634758534201e-08, 1.2400550807823332e-08, -3.821671559766092e-05]",element_11.json,[]
12,"[0.09024747339936089, 0.020871925696433764]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[7.649327147963635e-07, 6.251071019500823e-07, -0.000920672460696718]",element_12.json,[]
13,"[0.08024747133243762, 0.02087189776409446]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[7.093814248757e-07, 5.107492211768835e-07, -0.0008271919300443948]",element_13.json,[]
14,"[0.01024759558031402, 0.02087183449956047]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.2653686613948397e-06, -7.439878613399668e-08, -0.0016997887347776624]",element_14.json,[]
15,"[0.02024759124314101, 0.020871859084617705]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.2533565191362392e-06, 3.232828117772685e-08, -0.0016623415520753723]",element_15.json,[]
16,"[0.05024719399200318, 0.020871785147326766]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[5.155120064488848e-07, 2.7119667206456296e-07, -0.000650571923183178]",element_16.json,[]
17,"[0.0302475874423159, 0.020871883732370967]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.2413090728931373e-06, 1.3954963286885814e-07, -0.001623412964218829]",element_17.json,[]
18,"[0.040247690545763326, 0.02087180004152629]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[1.590907112544843e-06, -1.9482711067295445e-07, -0.0019511018205731292]",element_18.json,[]
19,"[0.05975421148980842, 0.02087181489768142]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[8.687198238696586e-07, 2.578147013623653e-08, -0.0009968859134356085]",element_19.json,[]
20,"[0.07024746912249077, 0.020871869775427605]",5.8474850000000004e-08,"[0, 1.0325489013000001e-06, 0]","[0, 0, 0]",mortar,"[6.547401886178868e-07, 3.957765426265548e-07, -0.0007352362742151237]",element_20.json,[]
