id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05340520650370748, 0.019901218683631008]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 3.331787355327547e-07, 1.9276554828210983e-06]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0015344309422161437, 0.020258237866553806]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7680621962512936e-05, 2.916233366684422e-05, 4.624028998451687e-19]",element_3.json,[]
4,"[0.001208109101440372, 0.01992602135973724]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.766990871072951e-05, 2.9490506871307544e-05, 0.0010307002064721463]",element_4.json,[]
5,"[0.002534550240826361, 0.020258796010510668]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.760340018734238e-05, 2.9162777478862567e-05, 1.8465220058796717e-18]",element_5.json,[]
6,"[0.0022116910391942793, 0.019915174690330256]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7605448946411076e-05, 2.909653426897448e-05, 1.0357259633527054e-19]",element_6.json,[]
7,"[0.0018788243976331157, 0.01993530394807691]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.760544894641108e-05, 2.9096534268974487e-05, -1.471754104363222e-18]",element_7.json,[]
8,"[0.003534919044101797, 0.02025972953609547]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7114647708699456e-05, 2.9477809959893313e-05, -0.0010334294919055896]",element_8.json,[]
9,"[0.0028822743275295276, 0.019939604831841613]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.757795901836572e-05, 2.918821864783923e-05, 0.0]",element_9.json,[]
10,"[0.0032154206593773106, 0.019911595122406076]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.776361906109328e-05, 2.92661007169296e-05, -0.0004694942271259779]",element_10.json,[]
11,"[0.004554224508849652, 0.020239969867860072]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5185414433523546e-05, 5.080089176424561e-05, 5.296358544011732e-05]",element_11.json,[]
12,"[0.0038752227075195067, 0.019933458870891447]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.741768920795561e-05, 2.984003386240794e-05, -0.000964301093063808]",element_12.json,[]
13,"[0.0042299064050569804, 0.01989775514134135]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.522996723445725e-05, 5.05106351972074e-05, -0.0008409294055943547]",element_13.json,[]
14,"[0.005555342635700262, 0.02023999641886734]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.508900502703603e-05, 5.087963871362446e-05, 5.627020312746e-18]",element_14.json,[]
15,"[0.004889623987792958, 0.019908513178205273]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.508900502703601e-05, 5.0879638713624476e-05, 1.7101783708885977e-17]",element_15.json,[]
16,"[0.005222957263565871, 0.01990675152043603]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.508900502703601e-05, 5.087963871362446e-05, 1.2233607996793279e-17]",element_16.json,[]
17,"[0.006554881517563799, 0.0202400343843432]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.507779360230994e-05, 5.084935498124125e-05, 9.312288485513598e-18]",element_17.json,[]
18,"[0.005889237593105681, 0.019907178929096114]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.507779360230993e-05, 5.0849354981241254e-05, 1.0163585842584721e-17]",element_18.json,[]
19,"[0.006222561735584745, 0.019905833227605526]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5077793602309935e-05, 5.084935498124125e-05, 1.0935584889123112e-17]",element_19.json,[]
20,"[0.007554519317818766, 0.02024011160733306]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.505733155236526e-05, 5.086370771667976e-05, -2.176203538252402e-09]",element_20.json,[]
21,"[0.0068887516195785614, 0.01990719734404986]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5057332276854454e-05, 5.0863706267833744e-05, -2.176203527621649e-09]",element_21.json,[]
22,"[0.007222042128626135, 0.019906121437761687]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.505733227919584e-05, 5.086370699314172e-05, -2.176203529471136e-09]",element_22.json,[]
23,"[0.00855406388185747, 0.020240103666619755]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.507009674990163e-05, 5.076893808484702e-05, 5.699515925639736e-05]",element_23.json,[]
24,"[0.007888405190271076, 0.019907320120601476]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.505195266395518e-05, 5.086908805591546e-05, -2.176203577305042e-09]",element_24.json,[]
25,"[0.008221677564129448, 0.019906268025447416]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.505195266624476e-05, 5.086908878118401e-05, -2.1762035704606296e-09]",element_25.json,[]
26,"[0.009553494355049662, 0.0202400627312612]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5081939710421914e-05, 5.0697022017663374e-05, 9.137649486895739e-05]",element_26.json,[]
27,"[0.008887903439437964, 0.01990727829306256]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5051163703377364e-05, 5.0751587419283926e-05, 5.185595173767714e-05]",element_27.json,[]
28,"[0.00922123573603293, 0.019906428555132315]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5051119639408263e-05, 5.0734302155799105e-05, 5.1855951737673905e-05]",element_28.json,[]
29,"[0.010552783142998998, 0.020240051948349644]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.509740074671664e-05, 5.06064884777549e-05, 0.00015070466725633313]",element_29.json,[]
30,"[0.009887384972589964, 0.019907285564480397]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.505156796676633e-05, 5.0668177509494554e-05, 8.626096357281995e-05]",element_30.json,[]
31,"[0.010220657391222734, 0.01990651531031565]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5051501523899876e-05, 5.0639429109531044e-05, 8.626096357282037e-05]",element_31.json,[]
32,"[0.011552313525505552, 0.020239998135129854]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.508465215432621e-05, 5.0596040496051074e-05, 0.00015070466725632947]",element_32.json,[]
33,"[0.010886822160555958, 0.01990739124539319]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.503452674368129e-05, 5.069633315076773e-05, 0.00015070466725633388]",element_33.json,[]
34,"[0.011220154517057714, 0.019906389453955634]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.5034375769036034e-05, 5.064609840889537e-05, 0.00015070466725632464]",element_34.json,[]
