id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.051805206503707436, 0.01990435217729019]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 1.6276528257146391e-06, 3.719856118947853e-05]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.000766055276916752, 0.02031572574989197]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.212415614530488e-05, -8.444437298150286e-06, 0.0037448582395848366]",element_3.json,[]
4,"[0.0004396467345438318, 0.019977494211321712]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.0857297045096542e-05, -7.216090682406374e-06, 0.003763366552661959]",element_4.json,[]
5,"[0.001775223389789246, 0.02032261589629098]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.575528446468194e-05, -5.856417183457165e-05, 0.016959687986208713]",element_5.json,[]
6,"[0.001450885832916775, 0.01998407766487485]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.001251351765734e-05, -5.3035538316754586e-05, 0.017051479934484155]",element_6.json,[]
7,"[0.0011175669870922922, 0.0199928194654897]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.361664859450998e-05, -8.398502603397449e-06, 0.017051479934484148]",element_7.json,[]
8,"[0.0027973777104121356, 0.020328787780879105]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.817338694294052e-05, -6.195530095308476e-05, -0.0072144116705121905]",element_8.json,[]
9,"[0.0021284983692416984, 0.020002995708184777]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.981111433707225e-05, -6.177817436029023e-05, 0.009556898539776171]",element_9.json,[]
10,"[0.0024667360822490723, 0.019989956027929346]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.040782588368203e-05, -5.897497424589021e-05, 0.00955689853977617]",element_10.json,[]
11,"[0.003806853943849348, 0.020332694159168534]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.693103140733473e-05, -8.1076028692223e-05, 2.533105985249833e-12]",element_11.json,[]
12,"[0.0031426409603594594, 0.020000406125179813]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.58462934956967e-05, -5.864545644501279e-05, 2.5331450328594666e-12]",element_12.json,[]
13,"[0.003475970735732527, 0.01999922592660849]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.693103140648998e-05, -8.107602869138483e-05, 2.533151650673212e-12]",element_13.json,[]
14,"[0.004806632922053768, 0.020332611777622533]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.689311583159759e-05, -8.098017932533491e-05, -0.00010516847006699521]",element_14.json,[]
15,"[0.004142049701493291, 0.020000897046775063]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.69276115192129e-05, -8.103745467439503e-05, -0.00010516847037372851]",element_15.json,[]
16,"[0.004475342193294906, 0.020000113309712794]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.69276939436402e-05, -8.100240281324518e-05, -0.00010516847006751224]",element_16.json,[]
17,"[0.005805492791858959, 0.020332280232713062]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.688735912174414e-05, -8.06878697436257e-05, -0.00010516846831200813]",element_17.json,[]
18,"[0.005140789406970821, 0.02000053815830098]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.692803950577568e-05, -8.094503659935315e-05, -0.00010516846915685332]",element_18.json,[]
19,"[0.0054741187556933526, 0.019999457376587617]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.692815316993383e-05, -8.090998086202231e-05, -0.0001051684683120149]",element_19.json,[]
20,"[0.0068043127863004725, 0.02033205227745777]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.691723925744259e-05, -8.042118236188053e-05, 3.792958179649744e-12]",element_20.json,[]
21,"[0.006139504353399009, 0.019999909880450802]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.692757601650956e-05, -8.05820397525078e-05, -0.00011135977351929738]",element_21.json,[]
22,"[0.006472801167734641, 0.019999283252303]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.692764579767798e-05, -8.054492389485504e-05, -0.00011135977351927569]",element_22.json,[]
23,"[0.007802604838821625, 0.020331797704430138]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.694263102217419e-05, -8.02249145534853e-05, 2.0920151585033245e-05]",element_23.json,[]
24,"[0.007138004289549302, 0.019999724826870798]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.694533709735024e-05, -8.040230117742215e-05, -5.524054262258243e-05]",element_24.json,[]
25,"[0.007471291261055706, 0.019999198946659157]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.694536614725898e-05, -8.038389022389715e-05, -5.5240543354197755e-05]",element_25.json,[]
26,"[0.008800719598366714, 0.02033184993293708]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.694629880162102e-05, -8.02461538105083e-05, 9.875658602019562e-10]",element_26.json,[]
27,"[0.00813628724463212, 0.019999453043228976]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.693550157728652e-05, -8.023183787532924e-05, 2.1278841736591397e-05]",element_27.json,[]
28,"[0.008469619642153592, 0.019999260243656544]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.69354956341428e-05, -8.023892884571708e-05, 2.1278838148102235e-05]",element_28.json,[]
29,"[0.009799576135178798, 0.0203311415520149]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.680483824692695e-05, -7.918237150547284e-05, -0.0004852876791425366]",element_29.json,[]
30,"[0.009134967913663652, 0.019999383241005354]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.685337422989039e-05, -8.025856729324374e-05, -0.00016495367460130629]",element_30.json,[]
31,"[0.009468240625821453, 0.019999062109161105]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.685342870515736e-05, -8.020359390497745e-05, -0.00016495367460186698]",element_31.json,[]
32,"[0.010797783453765222, 0.020330571630070588]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.689823979814569e-05, -7.933440762612267e-05, 0.00012100875093293742]",element_32.json,[]
33,"[0.01013332062860349, 0.019998722533926545]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.685364085649308e-05, -7.911036741941907e-05, 0.0001210087713804751]",element_33.json,[]
34,"[0.010466653196221124, 0.019998303163174518]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.685359010895881e-05, -7.915070367515326e-05, 0.0001210087720063186]",element_34.json,[]
35,"[0.011796158324372197, 0.02033086413311533]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.695287320456016e-05, -7.949605799879182e-05, 0.00043820594701409523]",element_35.json,[]
36,"[0.011132176474866234, 0.019997799204888242]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.676699214424483e-05, -7.918358860162254e-05, 0.0005306654818671492]",element_36.json,[]
37,"[0.011465506922693108, 0.019997561785452343]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.676686615397858e-05, -7.93604751250739e-05, 0.0005306654236898464]",element_37.json,[]
38,"[0.012795194833247333, 0.020333333296569576]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.402311603757112e-05, -8.839276454166898e-05, -5.236874544505658e-05]",element_38.json,[]
39,"[0.01213079579414133, 0.01999881551891419]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.645104444279556e-05, -7.954564857426584e-05, 0.001027407093054438]",element_39.json,[]
