id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05020520650370739, 0.01990743940021538]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 8.692419781742979e-10, -5.693328774979411e-07]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0005924572571860672, 0.02032538871372789]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.240240187314864e-06, 2.606096247372656e-06, 1.9463885825010505e-05]",element_3.json,[]
4,"[0.0002614131130816211, 0.019991993014887754]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.233751011498092e-06, 2.6125396527965437e-06, 1.9463885825012738e-05]",element_4.json,[]
5,"[0.001591530033143699, 0.020325751928508384]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.160795357475884e-06, 2.734594415055499e-06, -2.789759645845227e-05]",element_5.json,[]
6,"[0.0012606619881194079, 0.019993194176999154]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.170072919426619e-06, 2.7253639918544145e-06, -2.7897596458452443e-05]",element_6.json,[]
7,"[0.0009273885184858295, 0.019993143798417122]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.1700743248679685e-06, 2.7160664630882686e-06, -2.7897596458452667e-05]",element_7.json,[]
8,"[0.002590597472345745, 0.020325847757900514]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.067260450183308e-06, 2.6977231897098494e-06, -3.244997040438252e-05]",element_8.json,[]
9,"[0.0019263903130133729, 0.019993293716408057]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.0780518189875354e-06, 2.6761696870472244e-06, -3.244997040438273e-05]",element_9.json,[]
10,"[0.0022597227376255726, 0.019993205084937026]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.078054695076204e-06, 2.6869863143606886e-06, -3.244997040438246e-05]",element_10.json,[]
11,"[0.003589573083623234, 0.020326237958234728]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.389727175454401e-06, 1.489990803400246e-07, -5.489369560625422e-09]",element_11.json,[]
12,"[0.0029253869705112654, 0.01999358397218902]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.990114456630549e-06, 2.701862150796921e-06, -1.1529724868274083e-08]",element_12.json,[]
13,"[0.0032587194818483466, 0.019993377628502392]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.389729002647761e-06, 1.4899726416233336e-07, -5.489369560633623e-09]",element_13.json,[]
14,"[0.0045887057431822555, 0.020326175705940436]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.324300976803727e-06, 2.4092891334892003e-07, -6.055395215635494e-05]",element_14.json,[]
15,"[0.003924452240673436, 0.019994026121563396]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.299809102804889e-06, 2.2466195874237362e-07, 4.271669075516393e-05]",element_15.json,[]
16,"[0.004257769422765788, 0.019994052812411033]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.299786329458046e-06, 2.1041557063593704e-07, 4.276545923003827e-05]",element_16.json,[]
17,"[0.00558805864558623, 0.020326098198514664]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.014807142261668e-06, 5.880534623606218e-07, 7.2919253985959584e-06]",element_17.json,[]
18,"[0.004923666981137186, 0.019994153533246038]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.199389634016078e-06, 3.2985409363607974e-07, 7.291338688487666e-06]",element_18.json,[]
19,"[0.005257241628194289, 0.019993591071833162]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.018495993767649e-06, 3.927969350988342e-07, 7.291925398622433e-06]",element_19.json,[]
20,"[0.006587083521069442, 0.02032622233974499]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.914318181938102e-06, 5.639224233327286e-07, -1.1940536710295128e-05]",element_20.json,[]
