id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.052505206503707456, 0.019901424267912478]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, -2.1149430705556325e-06, -5.897887655100367e-05]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0011125281081658391, 0.020317476640307065]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.718874771433307e-05, -4.3044708798197025e-06, 0.0007719200537301167]",element_3.json,[]
4,"[0.000783403398800585, 0.019979793084823633]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.7479153556626832e-05, -3.417487267535883e-06, 0.001014040583831344]",element_4.json,[]
5,"[0.002113537591901238, 0.020321894020276364]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.706760945226861e-05, -5.184595671370922e-06, 0.0004084942392467552]",element_5.json,[]
6,"[0.001791298669603476, 0.019977677429805968]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6922607022974832e-05, -4.975901162291357e-06, 0.0006530811053706057]",element_6.json,[]
7,"[0.0014583939016938692, 0.01999716196028213]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6935332001675832e-05, -4.758487348481808e-06, 0.0006530811053706083]",element_7.json,[]
8,"[0.0031153732525892788, 0.02032230634676188]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6621068807115966e-05, -5.055816958604593e-06, 0.0002526747785772156]",element_8.json,[]
9,"[0.002462404538999081, 0.02000326107683963]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.654675973922468e-05, -4.884522608433659e-06, 0.0002526747785837206]",element_9.json,[]
10,"[0.0027955565672093687, 0.01997544389090941]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.6539731037928938e-05, -4.9687017233964105e-06, 0.00025267477858372054]",element_10.json,[]
11,"[0.004116319629326182, 0.020325179837713498]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.589149456868333e-05, -7.101356401210669e-06, 0.00012933964502692786]",element_11.json,[]
12,"[0.0034574743892649895, 0.019996426004675116]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.5803562973700973e-05, -6.995516546728934e-06, 0.00025292306195648693]",element_12.json,[]
13,"[0.003790802865628112, 0.019984030053315623]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.5847383864219243e-05, -7.059249643987838e-06, 0.0001293128100989147]",element_13.json,[]
14,"[0.005117684645684613, 0.02032582280792394]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.583973167178126e-05, -7.422321244377742e-06, 6.102204113757606e-19]",element_14.json,[]
