id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05330520650370748, 0.019899545694036076]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 1.6729895949299681e-06, 3.959714603290357e-06]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0014557265610335819, 0.02029240097752053]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.870438118256183e-05, -3.4163110966723906e-05, 0.0]",element_3.json,[]
4,"[0.0011293436978826938, 0.019959828915129638]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.876540355767822e-05, -3.380755539240023e-05, 0.0008737901198714548]",element_4.json,[]
5,"[0.0024558476097757426, 0.020292750490401607]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.870263105061832e-05, -3.39544798909396e-05, -0.000447975894647335]",element_5.json,[]
6,"[0.0021328345388983722, 0.019949273872290604]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.885650029590704e-05, -3.409918196034868e-05, -0.00044797589464733455]",element_6.json,[]
7,"[0.0017999769815581106, 0.019969552242199297]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.88474160750052e-05, -3.424829412238831e-05, -0.0004479758946473394]",element_7.json,[]
8,"[0.003456636692998058, 0.02029181099232029]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.828235110373897e-05, -3.208145622481914e-05, -0.002294779499270486]",element_8.json,[]
9,"[0.002803215507289453, 0.019973452791494872]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.905882024007446e-05, -3.3847959653260364e-05, -0.0009422410261815448]",element_9.json,[]
10,"[0.0031363351513340955, 0.01994512920306409]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.90855080432153e-05, -3.353408065801451e-05, -0.0009422410261815446]",element_10.json,[]
11,"[0.004454880911154209, 0.02029362467565931]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.934359769544236e-05, -5.3654807799236036e-05, -0.0001247935392881332]",element_11.json,[]
12,"[0.003797209695793711, 0.019964434209428273]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.80130117257956e-05, -3.0975338536826855e-05, -0.00020114840501127886]",element_12.json,[]
13,"[0.004130489344071145, 0.019951440479521687]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.941706098583503e-05, -5.3685338180334686e-05, -0.00018725736841809985]",element_13.json,[]
14,"[0.005456126355445966, 0.020293306896132644]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.921628025429676e-05, -5.331047726530515e-05, 2.2092543203496162e-18]",element_14.json,[]
