id,center,mass,dl,ll,type,displacement,shape_file,contps
135,"[0.043950777337641994, 0.019998853071644646]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[-1.0441184530653046e-06, 6.128257067254962e-06, 0.003982713593606789]",element_135.json,[]
136,"[0.04428413444801638, 0.019993966141568457]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.116538346657517e-06, 3.209235071619738e-07, 0.003982713593613777]",element_136.json,[]
137,"[0.04561733668270565, 0.0203296228856193]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.9318349404172194e-05, -1.4629426919767575e-05, -0.00022684249984537158]",element_137.json,[]
138,"[0.04495313397717328, 0.019998953286075677]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.034574584577664e-06, -1.0105491809940808e-06, 0.0033458502956231887]",element_138.json,[]
139,"[0.045286471012048676, 0.01999655865153438]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.861225810093922e-05, -1.4754615422186354e-05, 0.0019822998324985344]",element_139.json,[]
140,"[0.04661623883781862, 0.02032960975090465]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.162779331684033e-05, -1.6746768693268796e-05, -2.4492239505889166e-06]",element_140.json,[]
141,"[0.045952194833199296, 0.01999665863551852]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.9401589373504766e-05, -1.4381439739806683e-05, -7.193066201548228e-06]",element_141.json,[]
142,"[0.0462854996295327, 0.019996815231378116]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.162890593724314e-05, -1.6748752211381558e-05, -6.8692467686660835e-06]",element_142.json,[]
143,"[0.047614697336803825, 0.02032987101624439]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.710337367725517e-05, -2.2261467404754626e-05, -2.1413120775867502e-17]",element_143.json,[]
144,"[0.046950726276201185, 0.019996923088424136]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.1827295090762023e-05, -1.6651846403883373e-05, -7.1654349962983914e-06]",element_144.json,[]
145,"[0.04728405880949563, 0.019997013363996553]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.7103373677255183e-05, -2.2261467404754636e-05, -2.114189558541305e-17]",element_145.json,[]
146,"[0.048615294765439646, 0.02033061689490667]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.581181884389397e-05, -2.3030610720195344e-05, 0.0013214924112913088]",element_146.json,[]
147,"[0.047950826537722153, 0.01999762737418588]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.707413906807875e-05, -2.2152520999736213e-05, 0.001321492411207301]",element_147.json,[]
148,"[0.04828585480831872, 0.019996530378495796]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.537032604774225e-05, -2.2595258316883908e-05, 0.0013214924112913162]",element_148.json,[]
149,"[0.049617298573221, 0.02033108152371397]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.560768672655258e-05, -3.110600502615104e-05, -0.0007471588870537202]",element_149.json,[]
150,"[0.04895305006264023, 0.020000037630911436]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[2.772754407080842e-05, -2.2584760748991067e-05, 0.0015867503019747276]",element_150.json,[]
151,"[0.04928638901918607, 0.019997866296715596]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.527762503723911e-05, -3.1159082475898985e-05, 0.0015867503587365052]",element_151.json,[]
152,"[0.05061667381253322, 0.020330820501063624]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.78181020422501e-05, -3.303621698333775e-05, -3.544190543567065e-15]",element_152.json,[]
153,"[0.049952474088830114, 0.019998294453035068]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.548475681848115e-05, -3.065846059931145e-05, -0.0001870875515034071]",element_153.json,[]
154,"[0.05028579582806814, 0.019998263472983092]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.781818755804084e-05, -3.303655530369929e-05, -1.2744328668986177e-06]",element_154.json,[]
155,"[0.05161522572458413, 0.02033071939860043]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.776602000682742e-05, -3.299323499995182e-05, 1.4032913595380656e-05]",element_155.json,[]
156,"[0.050950914826843906, 0.0199982305686858]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7761354219805804e-05, -3.2983912782523366e-05, 1.4032913595372758e-05]",element_156.json,[]
157,"[0.05128420575831484, 0.01999815768925065]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.776135319709499e-05, -3.298858982536682e-05, 1.4032913595375652e-05]",element_157.json,[]
158,"[0.05261362940024822, 0.02033069579389335]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.773085540937282e-05, -3.2945849466467325e-05, 2.7054375778222438e-05]",element_158.json,[]
159,"[0.05194934437872234, 0.019998282243172225]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.772186216825784e-05, -3.292787764987112e-05, 2.705437577821352e-05]",element_159.json,[]
160,"[0.05228262893332066, 0.019998208679147624]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.772186017802907e-05, -3.2936894455452296e-05, 2.7054375778215147e-05]",element_160.json,[]
161,"[0.05361202659348284, 0.020330785589566913]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7689753519718204e-05, -3.295695034086596e-05, 2.6313767742484214e-05]",element_161.json,[]
162,"[0.05294776445868, 0.019998283753358947]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.768100414362627e-05, -3.293947110133062e-05, 2.6313767742481233e-05]",element_162.json,[]
163,"[0.05328103814381198, 0.019998277040652258]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.7681003966989674e-05, -3.294824078767587e-05, 2.6313767742476835e-05]",element_163.json,[]
