id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.04950314627404524, 0.02000097120575071]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[2.0602296621267466e-06, 4.1391078202189025e-07, -8.70329143749839e-09]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0005000703044204969, 0.020333319619176445]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.147440235490428e-08, -3.3775965965610945e-08, -1.652101344312825e-05]",element_3.json,[]
4,"[0.00016830481328907734, 0.0200001546957772]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.120434972374315e-07, 4.5632067917131534e-08, -0.0013364504808519402]",element_4.json,[]
5,"[0.0015000639416218181, 0.02033332727638748]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4047089907762516e-08, -2.1030499438914276e-08, -6.652664573637856e-06]",element_5.json,[]
6,"[0.0011682684211864322, 0.020000496096055843]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0100631894489595e-06, 2.406823800907606e-07, -0.0009676751975640828]",element_6.json,[]
7,"[0.0008349157815266745, 0.020000487459175268]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0892460780162401e-06, 1.4814078018658423e-07, -0.0009710201366818636]",element_7.json,[]
8,"[0.0025000639032656006, 0.020333327301383066]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.387271018374785e-08, -2.0883344923985295e-08, -6.598265664900294e-06]",element_8.json,[]
9,"[0.0018349132500688854, 0.020000491305121722]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875886783302266e-06, 1.5320797195001413e-07, -0.0009672132226618945]",element_9.json,[]
10,"[0.002168266708154093, 0.02000049726031043]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.008619718430331e-06, 2.419664218465798e-07, -0.00096451162340535]",element_10.json,[]
11,"[0.0035000639173733937, 0.02033332728930011]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.392126021189134e-08, -2.09268230905786e-08, -6.6013627763712305e-06]",element_11.json,[]
12,"[0.002834913275168145, 0.020000491108523834]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875325610168556e-06, 1.5333507979831117e-07, -0.0009672199734559195]",element_12.json,[]
13,"[0.003168266706180343, 0.020000497016244987]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0085968085985989e-06, 2.4197295588974264e-07, -0.0009645198533944462]",element_13.json,[]
14,"[0.004500063928684156, 0.02033332727697556]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.395593096152273e-08, -2.0957015725783637e-08, -6.598497473065411e-06]",element_14.json,[]
15,"[0.003834913295174516, 0.020000490902395987]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.08754868722887e-06, 1.5333815960089625e-07, -0.0009672742736274352]",element_15.json,[]
16,"[0.004168266700211747, 0.020000496768892286]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0086204786770615e-06, 2.41947344522257e-07, -0.0009645754280999693]",element_16.json,[]
17,"[0.005500063939924504, 0.020333327264440405]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.398313324087121e-08, -2.098045761525764e-08, -6.592187256340885e-06]",element_17.json,[]
18,"[0.004834913312781973, 0.020000490696970716]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875560042505312e-06, 1.5334767412893772e-07, -0.0009673266330102788]",element_18.json,[]
19,"[0.0051682666926393455, 0.020000496521900616]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0086365177257575e-06, 2.419265288690683e-07, -0.0009646295723313476]",element_19.json,[]
20,"[0.0065000639513141155, 0.02033332725181614]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4008506672667025e-08, -2.1002275402154197e-08, -6.584839659099046e-06]",element_20.json,[]
21,"[0.005834913330285514, 0.020000490491602876]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.087561587328582e-06, 1.5335935352745057e-07, -0.0009673779838847749]",element_21.json,[]
22,"[0.006168266685024224, 0.020000496274949344]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0086505854625748e-06, 2.4190730200010575e-07, -0.0009646824766900518]",element_22.json,[]
23,"[0.007500063962807745, 0.020333327239128444]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4033730480983205e-08, -2.102398061848264e-08, -6.5771960237056275e-06]",element_23.json,[]
24,"[0.006834913347833193, 0.020000490286244073]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.087567004452834e-06, 1.533713165975865e-07, -0.0009674285591726075]",element_24.json,[]
25,"[0.0071682666774560465, 0.020000496027991675]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.008664220018693e-06, 2.418884023577096e-07, -0.0009647345046294155]",element_25.json,[]
26,"[0.008500063974356252, 0.02033332722640184]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4059094867631635e-08, -2.104582188977648e-08, -6.569459843630205e-06]",element_26.json,[]
27,"[0.007834913365419896, 0.020000490080868565]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875726513857807e-06, 1.5338303755465578e-07, -0.0009674787628476789]",element_27.json,[]
28,"[0.00816826666992166, 0.020000495781018843]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0086778890636894e-06, 2.418694857618291e-07, -0.0009647861400658672]",element_28.json,[]
29,"[0.009500063985932729, 0.020333327213653052]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.408455975918211e-08, -2.106775376692119e-08, -6.561683335647279e-06]",element_29.json,[]
30,"[0.00883491338302842, 0.02000048987547713]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875785091862397e-06, 1.533945010447099e-07, -0.0009675288444051378]",element_30.json,[]
31,"[0.009168266662405267, 0.020000495534034872]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0086916411967861e-06, 2.418505401695668e-07, -0.0009648376496044795]",element_31.json,[]
32,"[0.0105000639975248, 0.020333327200890927]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4110064703719764e-08, -2.1089717754589877e-08, -6.553882447206105e-06]",element_32.json,[]
33,"[0.00983491340064858, 0.020000489670075037]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875844796376196e-06, 1.5340580130733543e-07, -0.0009675789143809533]",element_33.json,[]
34,"[0.010168266654898454, 0.02000049528704396]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0087054298672087e-06, 2.4183160918760854e-07, -0.0009648891441642069]",element_34.json,[]
35,"[0.011500064009127068, 0.020333327188119647]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.413557925039784e-08, -2.111168554891406e-08, -6.546065583918593e-06]",element_35.json,[]
36,"[0.010834913418275593, 0.020000489464665934]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875904950564377e-06, 1.5341701175749203e-07, -0.0009676290142615567]",element_36.json,[]
37,"[0.011168266647397456, 0.02000049504004856]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.008719219552768e-06, 2.41812718084364e-07, -0.000964940664450495]",element_37.json,[]
38,"[0.01250006402073724, 0.0203333271753411]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.4161094631674186e-08, -2.1133649652827013e-08, -6.5382390583156845e-06]",element_38.json,[]
39,"[0.011834913435907332, 0.020000489259251752]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0875965234630381e-06, 1.5342817178244878e-07, -0.0009676791574233266]",element_39.json,[]
40,"[0.012168266639900624, 0.020000494793049876]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0087329963187514e-06, 2.4179387282118766e-07, -0.0009649922241612387]",element_40.json,[]
41,"[0.013500064032354354, 0.020333327162556068]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.418661166981442e-08, -2.1155611509257744e-08, -6.530407686109013e-06]",element_41.json,[]
42,"[0.012834913453542856, 0.02000048905383342]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0876025533369084e-06, 1.5343929900508747e-07, -0.0009677293474380376]",element_42.json,[]
43,"[0.013168266632407251, 0.020000494546048454]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[1.0087467585059296e-06, 2.417750703044855e-07, -0.0009650438277912958]",element_43.json,[]
44,"[0.014500064043978023, 0.02033332714976488]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.421213383277503e-08, -2.1177574859122367e-08, -6.522574816088224e-06]",element_44.json,[]
