id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05360520650370749, 0.01989463128717327]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 5.876542495107752e-06, 0.00015424463949392336]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0016003664833941925, 0.02031506036080281]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.940781191195133e-05, -7.628371913463218e-05, -1.0801701877434314e-17]",element_3.json,[]
4,"[0.0012740338760890803, 0.01998317371382004]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.940781150603306e-05, -7.628370600994169e-05, 0.0]",element_4.json,[]
5,"[0.0026003466351582536, 0.020315733952235907]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.926392635224104e-05, -7.714257561725118e-05, 0.0005090195189856558]",element_5.json,[]
6,"[0.002277516448885432, 0.019972021056652398]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.909359354654963e-05, -7.712775057000455e-05, 0.000509019518985661]",element_6.json,[]
7,"[0.0019446482279315191, 0.019992124196835905]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.910382643732639e-05, -7.695831414776103e-05, 0.0005090195189856671]",element_7.json,[]
8,"[0.003600010861841303, 0.0203164343910155]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.903107856996902e-05, -7.767353583806924e-05, 0.000904149555433268]",element_8.json,[]
9,"[0.002948259218243371, 0.019996068848117814]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.882908458023462e-05, -7.711670701118053e-05, 0.0007166031962432819]",element_9.json,[]
10,"[0.003281405961329517, 0.019968269278986935]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.880026479817886e-05, -7.7358297453351e-05, 0.0007337918429277139]",element_10.json,[]
11,"[0.004599381755825405, 0.020333116348188917]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.102273546144509e-05, -8.531503648047896e-05, -0.00018757001309567433]",element_11.json,[]
12,"[0.003942255203689346, 0.019990508258209663]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.781876383817323e-05, -7.741351887083734e-05, 0.0019439725497414535]",element_12.json,[]
13,"[0.004275597742208097, 0.01997569011893195]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.81275154497557e-05, -7.791116224121229e-05, 0.0010390668973748489]",element_13.json,[]
14,"[0.005600415657401164, 0.02033315876652484]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.304613868710777e-05, -8.73228075975987e-05, -0.00012439751280886595]",element_14.json,[]
15,"[0.004934672284787472, 0.020001696779419913]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.105197520304108e-05, -8.524027391323297e-05, -0.0001243975128089108]",element_15.json,[]
16,"[0.005268005717517886, 0.019999964820471353]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.308758718527993e-05, -8.736415856735324e-05, -0.000124397512808917]",element_16.json,[]
17,"[0.006599867275896188, 0.020333239605153097]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.30745778564329e-05, -8.746183113694886e-05, 1.854518591318264e-15]",element_17.json,[]
18,"[0.005934265539538079, 0.02000034215403379]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.307461616279696e-05, -8.74618442449736e-05, -7.828098149769214e-08]",element_18.json,[]
19,"[0.006267589764821746, 0.019999016962867138]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.3074577856431e-05, -8.746183113694698e-05, 1.830378178791296e-15]",element_19.json,[]
20,"[0.007599565888275359, 0.020333314558135]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305610300979632e-05, -8.744850518182333e-05, -7.770874432524489e-06]",element_20.json,[]
21,"[0.006933794712884333, 0.02000037574006971]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.301568692586783e-05, -8.743416441089559e-05, 0.00010930319364456888]",element_21.json,[]
22,"[0.0072670854073343, 0.01999935726712955]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305869814997052e-05, -8.745108884589202e-05, -7.770874432545287e-06]",element_22.json,[]
23,"[0.00859912078403555, 0.02033328516387944]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.30294995639679e-05, -8.738642049178509e-05, -8.40865813900848e-05]",element_23.json,[]
24,"[0.007933444601133694, 0.020000526665181134]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305800073795656e-05, -8.745922926980359e-05, -8.408658139011489e-05]",element_24.json,[]
25,"[0.008266716969364703, 0.019999472787444808]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305808935533992e-05, -8.743120553612056e-05, -8.408658139010129e-05]",element_25.json,[]
26,"[0.009598569293920823, 0.020333206318254762]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.303155953600352e-05, -8.73688260436436e-05, -8.409228096469969e-05]",element_26.json,[]
27,"[0.008932939627997826, 0.0200004406734951]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305748735975199e-05, -8.735834894731919e-05, -8.409228096474322e-05]",element_27.json,[]
28,"[0.00926627187594284, 0.019999571887193146]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305756041797379e-05, -8.733031827826974e-05, -8.409228096472961e-05]",element_28.json,[]
29,"[0.010597888408445576, 0.020333067950811336]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.304682669875777e-05, -8.729611848503035e-05, -2.7562001593437504e-05]",element_29.json,[]
30,"[0.009932418405367533, 0.020000389173077667]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305954718644122e-05, -8.73407383458345e-05, -8.413377828919224e-05]",element_30.json,[]
31,"[0.010265690730913633, 0.019999579057102913]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305961534455903e-05, -8.731269888588708e-05, -8.413377828918329e-05]",element_31.json,[]
32,"[0.01159742028117633, 0.020332910739952477]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.304618884633147e-05, -8.721739487255042e-05, -2.4741924290194375e-05]",element_32.json,[]
33,"[0.01093183480886635, 0.020000467223714496]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305599384052798e-05, -8.728691425380982e-05, -2.756200159346445e-05]",element_33.json,[]
34,"[0.01126516692030658, 0.01999938538631161]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.305602162813014e-05, -8.72767254956347e-05, -2.474192429020651e-05]",element_34.json,[]
