id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.0505052065037074, 0.019907440465070425]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, -1.6635517730425547e-08, 3.7937942764826665e-07]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0006121334489395126, 0.02032658162493066]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.1071792847882775e-06, 1.5742415978714903e-06, 5.935678421287076e-05]",element_3.json,[]
4,"[0.0002810120752806202, 0.019993262721179076]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.087394546544232e-06, 1.5938958977960362e-06, 5.935678421287046e-05]",element_4.json,[]
5,"[0.0016110096529893087, 0.020326988296714758]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.040427029425826e-06, 1.5906866047314532e-06, 2.5447260091319185e-05]",element_5.json,[]
6,"[0.0012801508857703682, 0.019994421314540562]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.03196411093269e-06, 1.5991060538343337e-06, 2.5447260091318534e-05]",element_6.json,[]
7,"[0.0009468182280428771, 0.019994437235225468]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.060930235910755e-06, 1.597796078354058e-06, -3.371582629483157e-05]",element_7.json,[]
8,"[0.0026098161751622025, 0.02032703269345918]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.963270334844479e-06, 1.619473876175724e-06, 2.6643621606133725e-05]",element_8.json,[]
9,"[0.0019456092225231037, 0.019994473696058487]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.954409758756006e-06, 1.6371707548900188e-06, 2.664362160613398e-05]",element_9.json,[]
10,"[0.0022789416338460473, 0.019994394295999456]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.954407643250909e-06, 1.6282895722536665e-06, 2.6643621606133898e-05]",element_10.json,[]
11,"[0.0036093779654681074, 0.02032805667086815]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.012244151652113e-06, 5.377324052196469e-07, 3.7937942719549725e-07]",element_11.json,[]
12,"[0.002944433146039504, 0.019994878285503535]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.905048380501037e-06, 1.4856020428838505e-06, 3.7937942763665234e-07]",element_12.json,[]
13,"[0.003278549206279259, 0.01999517161120368]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.012117861908874e-06, 5.378579148448217e-07, 3.7937942719557857e-07]",element_13.json,[]
14,"[0.004608586257901003, 0.020328071239327564]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.749760011058479e-06, 7.469590003238414e-07, 4.714468081232229e-05]",element_14.json,[]
15,"[0.003944077033741219, 0.01999613534405483]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.96884354534322e-06, 7.148619864983166e-07, 1.5821703896283237e-05]",element_15.json,[]
16,"[0.00427764255415968, 0.019995900762635337]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.735900944597598e-06, 7.043287522963342e-07, 4.7144680812322026e-05]",element_16.json,[]
17,"[0.0056074406319851465, 0.020328235794178872]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.693514069760359e-06, 6.545460653823929e-07, 0.00011549927468362203]",element_17.json,[]
18,"[0.004943279999506815, 0.019996101977667106]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.665339043864899e-06, 7.27809733227051e-07, 9.466681055831833e-05]",element_18.json,[]
19,"[0.005276621095578772, 0.01999548301468672]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.655081365079795e-06, 6.927554818887747e-07, 0.00011549927468362201]",element_19.json,[]
20,"[0.006606351345325499, 0.020328206403948352]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.561807870762391e-06, 6.886701963393021e-07, -1.9154166875204996e-05]",element_20.json,[]
21,"[0.0059420663162812505, 0.019995816530409105]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.668916870774111e-06, 6.664350620908963e-07, -7.660289568502192e-05]",element_21.json,[]
22,"[0.006275499566145604, 0.019995745249766887]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.568175887189117e-06, 6.823330061499201e-07, -1.9154166875205077e-05]",element_22.json,[]
23,"[0.007605159985511752, 0.020328275095222077]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.488361084577044e-06, 8.159288156680514e-07, -4.68870124792577e-06]",element_23.json,[]
24,"[0.006940983957174399, 0.019995777134355196]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.489923212376277e-06, 8.128146688151674e-07, -4.6888455704392245e-06]",element_24.json,[]
25,"[0.007274316336642039, 0.01999574181202283]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.489920233807009e-06, 8.143775886410768e-07, -4.688701271209677e-06]",element_25.json,[]
26,"[0.008604025247746904, 0.020328218644040028]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.404593819419057e-06, 9.350359031286254e-07, 6.208827653172142e-05]",element_26.json,[]
27,"[0.007939750144079816, 0.01999573082827539]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.430225691177688e-06, 9.06799191613679e-07, 4.662795508518606e-05]",element_27.json,[]
28,"[0.008273183108954868, 0.01999565646193259]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.385190292679512e-06, 9.508055509012465e-07, 4.387964299949025e-05]",element_28.json,[]
29,"[0.009602918255414133, 0.020328176709690945]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.336849690887627e-06, 9.426734141422662e-07, 6.035597164473168e-05]",element_29.json,[]
30,"[0.008938690086789965, 0.019995811483564916]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.3149753775870744e-06, 9.851734535342392e-07, 6.392623105175951e-05]",element_30.json,[]
31,"[0.009271962834420298, 0.019995799693021527]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.314974623859503e-06, 9.638685828671324e-07, 6.392623104412632e-05]",element_31.json,[]
32,"[0.010601655179551913, 0.0203283395097679]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.239294330533417e-06, 1.0149150044604973e-06, -3.811948419594122e-05]",element_32.json,[]
33,"[0.009937494741518829, 0.019995759618695732]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.251972105133323e-06, 9.89597550489476e-07, -3.811948419594201e-05]",element_33.json,[]
34,"[0.010270779508647736, 0.019995798896315718]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.251970607212493e-06, 1.0023021939028619e-06, -3.8119484195941844e-05]",element_34.json,[]
35,"[0.011600432703225597, 0.020328369616592634]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.166705470907491e-06, 1.0014676284343601e-06, -7.578441856206737e-06]",element_35.json,[]
36,"[0.010936245507938726, 0.019995956248172096]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.170397521155248e-06, 9.585112303234572e-07, -7.578441856206197e-06]",element_36.json,[]
37,"[0.011269519977037455, 0.019996009270242268]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.170397117480039e-06, 9.610369315097675e-07, -7.578441856206305e-06]",element_37.json,[]
38,"[0.012599260264909772, 0.020328482816755977]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.093445439076499e-06, 1.0018719656746937e-06, -1.4775755285577474e-05]",element_38.json,[]
39,"[0.011935020865542737, 0.019995924523809345]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.098359239031154e-06, 9.92057326858699e-07, -1.4775755285577043e-05]",element_39.json,[]
40,"[0.012268353375428429, 0.01999583830174479]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.09836051302735e-06, 9.969825664534326e-07, -1.4775755285577694e-05]",element_40.json,[]
41,"[0.013598116975216089, 0.020328564480093046]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.021906898137063e-06, 9.882274228561168e-07, -2.2509284872852953e-13]",element_41.json,[]
42,"[0.01293385782027007, 0.019996087057758634]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.0333808166565345e-06, 9.843535680927386e-07, -2.3398275157352265e-05]",element_42.json,[]
43,"[0.013267199057129963, 0.019995912322105545]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.021906898211835e-06, 9.882274227817122e-07, -2.250932815623672e-13]",element_43.json,[]
44,"[0.014596905241283197, 0.02032862578756685]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.95637363246466e-06, 9.930793743930525e-07, -2.9095027002011407e-05]",element_44.json,[]
45,"[0.013932744856497703, 0.019996138441558575]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.945868627989308e-06, 1.0005612025829296e-06, 1.0616338201915213e-05]",element_45.json,[]
46,"[0.014266025951873273, 0.0199961844679104]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[3.945868593457229e-06, 9.970227987979633e-07, 1.0617405159347124e-05]",element_46.json,[]
