id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05190520650370744, 0.019905979830115904]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, -5.10706482780601e-06, -0.00010988713668993918]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0007881794330620569, 0.020307281312593822]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.75633164275361e-05, -5.1715620551691686e-05, -0.006028092326229818]",element_3.json,[]
4,"[0.00046050403158892834, 0.019970278120639305]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.959467141951006e-05, -5.3687090993335076e-05, -0.006016032585270472]",element_4.json,[]
5,"[0.001840978674253928, 0.02026405172445641]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.642436607243144e-05, 6.842213831872175e-06, 8.131272972108853e-07]",element_5.json,[]
6,"[0.0015108983464344322, 0.019931042126558093]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.799334938097518e-05, -1.1984440487718335e-05, -0.016521282475562112]",element_6.json,[]
7,"[0.0011411836356868023, 0.019984420962886305]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[7.832776385406547e-05, -4.48695451672561e-05, -0.016521282475561887]",element_7.json,[]
8,"[0.0028655510973550763, 0.02026683247992602]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.617597068073389e-05, 1.2181006934340413e-05, -0.0011214465921019318]",element_8.json,[]
9,"[0.0021983094835787706, 0.01994121753382449]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.205140503311046e-05, 1.1539334161719634e-05, -0.0009594413612205492]",element_9.json,[]
10,"[0.0025371439081327543, 0.019930981053683457]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.6551076746916854e-05, 1.186442592324209e-05, -0.00095944136122054]",element_10.json,[]
11,"[0.0038937849752566827, 0.020251618130476313]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.747463965666199e-05, 3.664263304931662e-05, 0.0004487247504282407]",element_11.json,[]
12,"[0.003208487253855156, 0.0199417606687348]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.779836672993737e-05, 1.3302111196241806e-05, -0.0011468504623977898]",element_12.json,[]
13,"[0.003562901767139017, 0.019918149897917105]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7771298664841624e-05, 2.5441510850452945e-05, -0.0011468504623977892]",element_13.json,[]
14,"[0.004893526037885366, 0.0202516315982972]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.821128926321592e-05, 3.631715122443153e-05, 0.00010516794050201948]",element_14.json,[]
15,"[0.004228977313012503, 0.01991985959210067]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7748654519466075e-05, 3.661741743410005e-05, 0.0010970369293631741]",element_15.json,[]
16,"[0.004562269887238546, 0.01991911090689955]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.7747833184151984e-05, 3.6251783171891565e-05, 0.0010970369293631741]",element_16.json,[]
17,"[0.005892380150980704, 0.020251592362969435]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.877293250939214e-05, 3.5767586164141685e-05, 4.377697868593614e-05]",element_17.json,[]
18,"[0.005227717446476597, 0.019919593121701627]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.832138624804535e-05, 3.6034796596085015e-05, 0.001057459386495273]",element_18.json,[]
19,"[0.005561046908863287, 0.019918547395725596]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.832028043529629e-05, 3.5682314227288796e-05, 0.0010574593864952659]",element_19.json,[]
20,"[0.006891230025557915, 0.02025163109509589]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.9403693827428644e-05, 3.526273270752441e-05, -3.050071453965148e-12]",element_20.json,[]
21,"[0.006226431929415519, 0.019919327840698293]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.893596818520062e-05, 3.5514828645005294e-05, 0.0010840539020656504]",element_21.json,[]
22,"[0.006559728813532319, 0.019918738328408146]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.893532912210217e-05, 3.515351685723216e-05, 0.0010840539020656515]",element_22.json,[]
23,"[0.0078895474698438, 0.020251572789876653]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.005279563969114e-05, 3.4679723248440675e-05, -2.89447004465853e-18]",element_23.json,[]
24,"[0.007224949626646653, 0.019919322525693374]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.9542072519160356e-05, 3.495472103912218e-05, 0.001183590248945979]",element_24.json,[]
25,"[0.007558236627202965, 0.01991881505643526]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.95414718834948e-05, 3.4560245795163283e-05, 0.0011835902489459804]",element_25.json,[]
26,"[0.008887665897168336, 0.020251603779126572]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.0730401365955375e-05, 3.387144707443378e-05, 0.00017346351545133843]",element_26.json,[]
27,"[0.008223222746209407, 0.019919221205353648]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.01078974293275e-05, 3.42904117230644e-05, 0.0014817072120195634]",element_27.json,[]
28,"[0.008556555137787735, 0.01991902131481083]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.010760125006859e-05, 3.379651071446306e-05, 0.0014817072120195593]",element_28.json,[]
29,"[0.009886380973425726, 0.020251959180509427]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.083223135958541e-05, 3.3591822024314324e-05, -1.897218930662208e-11]",element_29.json,[]
30,"[0.009221821287893542, 0.01991912467371211]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.044470607615985e-05, 3.3800305005736117e-05, 0.0008975205106109064]",element_30.json,[]
31,"[0.00955509405452661, 0.019918858515256127]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.044446719348653e-05, 3.350118586205489e-05, 0.0008975205106109055]",element_31.json,[]
32,"[0.010884681693563367, 0.020251237222444464]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.117984518111952e-05, 3.304641245748224e-05, 0.0005924874991535848]",element_32.json,[]
33,"[0.010220174269459982, 0.019919612166507127]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.098336148107054e-05, 3.344012479935823e-05, 0.0005924874991535746]",element_33.json,[]
