id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.050405206503707396, 0.019907433680642503]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 6.784427922870704e-09, 1.983990705242488e-07]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0006052269960061418, 0.020325787417987372]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.906452933370837e-06, 7.942069432864966e-07, 0.00016944427110339972]",element_3.json,[]
4,"[0.0002741621108312642, 0.019992412417187633]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.849964449356022e-06, 8.503039914427004e-07, 0.00016944427110340013]",element_4.json,[]
5,"[0.0016042596494943969, 0.020326218608380995]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.75000349491178e-06, 7.696883337613843e-07, -3.2676452147405166e-13]",element_5.json,[]
6,"[0.00127340088227536, 0.019993651626206508]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.750003495008067e-06, 7.69688334053777e-07, -3.2676603258082956e-13]",element_6.json,[]
7,"[0.0009400174034392126, 0.01999370898241365]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.800824603664471e-06, 7.282528118191604e-07, 0.00012143962211128631]",element_7.json,[]
8,"[0.002603143488992528, 0.02032627219706286]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.672686169674641e-06, 7.604963963220767e-07, 3.7867704981855426e-05]",element_8.json,[]
9,"[0.0019389493299439365, 0.019993692210431728]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.65989257916722e-06, 7.814856267589081e-07, 1.136763420862631e-05]",element_9.json,[]
10,"[0.002272281747999381, 0.01999361659957374]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.659885846666306e-06, 7.776964257154999e-07, 1.1367634477269707e-05]",element_10.json,[]
11,"[0.003604044342554101, 0.020326412763441937]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.333622914006671e-06, 1.643907426213992e-06, -9.94705700877281e-06]",element_11.json,[]
12,"[0.002937817504690905, 0.019994074743084088]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[6.615641348598889e-06, 8.035424194472648e-07, -9.94705699635858e-06]",element_12.json,[]
13,"[0.0032732122709738017, 0.01999353103331516]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.336935305457082e-06, 1.6405778885185405e-06, -9.947057008771213e-06]",element_13.json,[]
14,"[0.004603052483025212, 0.020326640144993337]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.5337748757914e-06, 1.4310943342288155e-06, 1.8535587689303227e-07]",element_14.json,[]
15,"[0.003938791682178794, 0.019994439909368934]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.28535156242514e-06, 1.6954346858966683e-06, 1.7802115119631762e-07]",element_15.json,[]
16,"[0.00427210884085365, 0.01999446960695876]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.533713306030044e-06, 1.4311556765778115e-06, 1.853558768928832e-07]",element_16.json,[]
17,"[0.005602069695916337, 0.02032670553603141]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.370936068809352e-06, 1.5302581474603521e-06, 2.4084376085865048e-05]",element_17.json,[]
18,"[0.004937823043055079, 0.019994610132263974]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.456956451736452e-06, 1.491845403132229e-06, 4.7982067997464995e-05]",element_18.json,[]
19,"[0.0052712563673759025, 0.019994003152822647]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.3647282028692e-06, 1.479861864070634e-06, 2.408437608586537e-05]",element_19.json,[]
20,"[0.0066009142624579974, 0.020326815937127075]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.43708286750118e-06, 1.390466821275758e-06, 1.983990705099035e-07]",element_20.json,[]
21,"[0.005936768734716223, 0.019994277596367533]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.297581565027798e-06, 1.538934041573345e-06, 1.9839907051033724e-07]",element_21.json,[]
22,"[0.006270062549238099, 0.01999435471730494]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.437016907504186e-06, 1.3905324619481403e-06, 1.983990705099306e-07]",element_22.json,[]
23,"[0.007599802527732084, 0.02032690068024062]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.357457779668271e-06, 1.37441498145615e-06, -3.5031752673563365e-06]",element_23.json,[]
24,"[0.006935625267214963, 0.019994405056398875]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.358689959436165e-06, 1.3720779563218416e-06, -3.5654028780522817e-06]",element_24.json,[]
25,"[0.007268957713944058, 0.01999436855604874]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.358622697981343e-06, 1.373255974087153e-06, -3.5031752673569345e-06]",element_25.json,[]
26,"[0.008598584124385238, 0.02032705298961016]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.441123361666828e-06, 1.1656544298694188e-06, -1.2272218890516887e-18]",element_26.json,[]
27,"[0.007934477411363501, 0.019994386034861103]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.272732716315357e-06, 1.3447934142858781e-06, -2.270048298641525e-19]",element_27.json,[]
28,"[0.008267741985593201, 0.01999449080750272]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.441123361666828e-06, 1.165654429869418e-06, -4.54009659728305e-19]",element_28.json,[]
29,"[0.009597544912731756, 0.02032700254641126]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.3733426823762574e-06, 1.174163279682964e-06, 2.502207461322845e-05]",element_29.json,[]
30,"[0.008933325060990947, 0.019994620700126545]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.365025799018444e-06, 1.1907834383728037e-06, 2.502207461322656e-05]",element_30.json,[]
31,"[0.00926659780870764, 0.019994617248758714]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.365025712658059e-06, 1.182444262812886e-06, 2.502207461322715e-05]",element_31.json,[]
32,"[0.010596356456570406, 0.02032716024740358]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.298722981507073e-06, 1.1792623643195226e-06, -3.5897731901214275e-06]",element_32.json,[]
33,"[0.009932194824659504, 0.019994582740521034]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.299916859324926e-06, 1.1768781746993768e-06, -3.5897731901219154e-06]",element_33.json,[]
34,"[0.010265479591925114, 0.019994620821724297]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.299916722622034e-06, 1.1780745914215893e-06, -3.5897731901225117e-06]",element_34.json,[]
35,"[0.011595205231551943, 0.020327197030526913]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.227471673652617e-06, 1.1725860657217745e-06, 1.4548054953248593e-06]",element_35.json,[]
36,"[0.010931018519863275, 0.019994782695843896]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.226988075451785e-06, 1.173552328199873e-06, 1.4548054953257843e-06]",element_36.json,[]
37,"[0.01126429298888416, 0.019994836202763596]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.2269881532939575e-06, 1.1730674786708776e-06, 1.45480549532573e-06]",element_37.json,[]
38,"[0.012594111750014634, 0.02032731677417938]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.148514895137906e-06, 1.1660425765989575e-06, 3.9755644452310166e-06]",element_38.json,[]
39,"[0.011929873672765023, 0.019994755840511462]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.1471927777141385e-06, 1.1686832978820368e-06, 3.97556444523102e-06]",element_39.json,[]
40,"[0.012263206182988227, 0.019994670943631786]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.147192440201125e-06, 1.167358113005957e-06, 3.975564445231345e-06]",element_40.json,[]
41,"[0.013593043762549108, 0.02032740203678819]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.073212666981499e-06, 1.1624433048584497e-06, 3.7486290113686316e-17]",element_41.json,[]
42,"[0.012928786657193873, 0.01999492281999731]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.071163076196945e-06, 1.1642377613214768e-06, 1.0838954740341353e-05]",element_42.json,[]
43,"[0.013262125844462982, 0.019994749878800688]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.073212666981517e-06, 1.1624433048584595e-06, 3.7343988578547593e-17]",element_43.json,[]
44,"[0.014591906962769848, 0.020327464045172675]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[4.9982785133490245e-06, 1.1617423941776352e-06, -9.969463683286068e-06]",element_44.json,[]
45,"[0.013927743263329843, 0.019994983320520278]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[5.0015931678588465e-06, 1.1551210382962992e-06, -9.969463683285851e-06]",element_45.json,[]
