id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05290520650370747, 0.019902228984104528]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, -5.988198967262069e-06, -0.00010126310358861071]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0013096533635272782, 0.020246758374729144]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.937466981589273e-05, 1.158603544794156e-06, 0.0001717639698388306]",element_3.json,[]
4,"[0.0009817333204156981, 0.01991057339090581]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.99004246790825e-05, 2.369500083354492e-06, 0.0019077920126289968]",element_4.json,[]
5,"[0.0023106430936068755, 0.020248506877652738]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.924854606019382e-05, 4.818897625131805e-07, 6.245117689082436e-05]",element_5.json,[]
6,"[0.001988060642065197, 0.019904660385083105]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.919824729119702e-05, 4.947054227967462e-07, 0.00012917225276062018]",element_6.json,[]
7,"[0.0016551783928133545, 0.019924527466219272]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.920081356682658e-05, 5.377045727173031e-07, 0.00012917225308731138]",element_7.json,[]
8,"[0.003311837082596276, 0.020249023043708993]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.910372478724968e-05, -4.25247106046008e-07, 0.0006910428196240202]",element_8.json,[]
9,"[0.0026588192993226493, 0.019929820327657284]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.908303551362844e-05, -4.607950443219385e-08, 0.00025856338459301955]",element_9.json,[]
10,"[0.0029921890797237178, 0.019902023730384417]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.886393340244954e-05, -2.0435664613161753e-07, 0.0006910428312125126]",element_10.json,[]
11,"[0.004312309281036188, 0.020253062034641382]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.72481674413726e-05, -1.7878777439895464e-06, 3.907520164111617e-18]",element_11.json,[]
12,"[0.003652732919645003, 0.019922705180179256]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.854275133474348e-05, -6.178988874985374e-07, 0.0015888431526731202]",element_12.json,[]
13,"[0.003987234287156205, 0.019909964515251285]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.735453969911688e-05, -1.1493690948375255e-06, 0.0015888431527293178]",element_13.json,[]
14,"[0.005313700233226341, 0.02025292401709484]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.691537343852747e-05, -1.4491237900992692e-06, 0.00011174830800402203]",element_14.json,[]
15,"[0.00464761951624312, 0.019921643752750916]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.730484459030151e-05, -1.7005525967047505e-06, -0.00043180620182446943]",element_15.json,[]
16,"[0.004981343617106099, 0.019919761669353084]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.691491712447974e-05, -1.5564484600094942e-06, -0.0004318062032883285]",element_16.json,[]
17,"[0.006313554968484355, 0.0202526668322084]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.675076186677901e-05, -1.0007967085885553e-06, 4.312640572404165e-05]",element_17.json,[]
18,"[0.005647898527513561, 0.0199200243429507]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.676312330022391e-05, -1.2137096208173026e-06, -0.00036107148376452266]",element_18.json,[]
19,"[0.005981222295702008, 0.019918558234675535]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.676365267007187e-05, -1.0933559134000675e-06, -0.0003610714842772018]",element_19.json,[]
20,"[0.007313375164752531, 0.020252954690832225]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.67303337351059e-05, -1.148189638084648e-06, 8.77843301589408e-08]",element_20.json,[]
21,"[0.006647610996444184, 0.01992003331317465]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.6730337615663e-05, -1.1481424799309105e-06, 2.0075746980965094e-08]",element_21.json,[]
22,"[0.006980901550335072, 0.019918960962758917]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.673030441569021e-05, -1.1481604521111116e-06, 8.778433016253041e-08]",element_22.json,[]
