id,coor,cand,anta,tangent1,normal,cont_type,section_h,lever,faceID,counterPoint,normal_force,tangent_force,mu,cohesion,ft,fc,crack_state,sliding_failure,strength_failure,opening_failure,crushing_failure,displacement,gap
1,"[0.00037033954761196794, 0.020407306667272834]",3,4,"[0.7071068, -0.7071068]","[0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd7da137fd0>,0.0006871068,0.0003435534,10,10,0.0030191158176089395,-0.009331128128552404,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[1.9796164659802813e-05, 5.086931506601347e-05]","[0, 9.779508249203328e-10]"
10,"[0.00037122570369118213, 0.020406419128162337]",4,3,"[0.7071068, -0.7071068]","[-0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2a00>,0.0006871068,0.0003435534,11,1,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[1.9798032121213637e-05, 5.087115084068464e-05]","[0, 9.779508249203328e-10]"
2,"[0.00037315569168726314, 0.02041442342517003]",3,2,"[1.0, 0.0]","[0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2c40>,0.00098,0.00049,4,2401,-0.00425287226194243,-0.005263300073774116,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[1.9775231836593413e-05, 5.0877562746100974e-05]","[0, 8.557657482997222e-05]"
2401,"[1.0000000000003062e-05, 0.0205]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2ca0>,0.00098,0.00049,5,2,-0.00985212765957447,0.0,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 8.557657482997222e-05]"
3,"[0.0013530319050617957, 0.020429999254611444]",3,2,"[-1.0, 0.0]","[-0.0, -1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2d60>,0.00098,0.00049,4,2402,0.022249128208956165,0.030175180516418796,0.94,0.009261000000000002,14000,14000,False,False,False,False,False,"[1.9725210835881257e-05, 5.375797176819519e-05]","[0, 7.000074538855705e-05]"
2402,"[0.0009899999999999978, 0.0205]",2,3,"[-1.0, 0.0]","[0.0, 1.0]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2e20>,0.00098,0.00049,5,3,-0.00985212765957447,0.0,0.94,0.009261000000000002,37.800000000000004,14000,False,False,False,False,False,"[0.0, 0.0]","[0, 7.000074538855705e-05]"
4,"[0.0013560728210708938, 0.02042297559885067]",3,7,"[-0.7071068, -0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2ee0>,0.0006871068,0.0003435534,8,25,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[1.9745844666214842e-05, 5.376694129215903e-05]","[0, 0]"
25,"[0.0013681405816649997, 0.020435897085792888]",7,3,"[-0.7071068, -0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd8349a2fa0>,0.0006871068,0.0003435534,9,4,0.006894824623192002,0.009570554800540447,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[1.9343955947005807e-05, 5.416505950082626e-05]","[0, 0]"
5,"[0.0008779984709924203, 0.019929457089128178]",3,7,"[0.7071068, 0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c700a0>,0.0006871068,0.0003435534,8,30,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.1198673527372922e-05, 5.236371058071204e-05]","[0, 3.707367615669672e-06]"
30,"[0.0008931726231528526, 0.019939388231865324]",7,3,"[0.7071068, 0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c70160>,0.0006871068,0.0003435534,9,5,-0.004225341298936098,-0.0025213384390000678,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.111880501097735e-05, 5.2473266286674064e-05]","[0, 3.707367615669672e-06]"
6,"[0.0008638580573344759, 0.019929232317194373]",3,4,"[-0.7071068, 0.7071068]","[0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c70220>,0.0006871068,0.0003435534,10,11,-0.005182954754474302,0.0016211817907941578,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.119939537124666e-05, 5.2322143927169273e-05]","[0, 0]"
11,"[0.0008661692642553142, 0.019929820265912567]",4,3,"[-0.7071068, 0.7071068]","[-0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c702e0>,0.0006871068,0.0003435534,11,6,0.020830176285562347,0.02607352496842861,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.1196252890413924e-05, 5.232746632734958e-05]","[0, 0]"
7,"[0.0003898373879348605, 0.019420737025742683]",4,402,"[0.7071068, 0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c703a0>,0.0006871068,0.0003435534,14,2398,0.003415909569552467,0.00970411425537932,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.2694112860502434e-05, 5.093009105976848e-05]","[0, 0]"
2398,"[0.0004009137999310521, 0.01943445561816216]",402,4,"[0.7071068, 0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c70460>,0.0006871068,0.0003435534,15,7,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.2823212830128136e-05, 5.2370436089698574e-05]","[0, 0]"
12,"[0.0008664362501846348, 0.0199156805863068]",4,402,"[-0.7071068, -0.7071068]","[-0.7071068, 0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c70520>,0.0006871068,0.0003435534,14,2399,-0.004722329163741747,-0.002054169846082759,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.123779737383863e-05, 5.232831182896622e-05]","[0, 1.375232083838048e-05]"
2399,"[0.0008886410894067418, 0.01991843670740262]",402,4,"[-0.7071068, -0.7071068]","[0.7071068, -0.7071068]",<Kinematics.entity.conttype.ContType object at 0x7fd834c705e0>,0.0006871068,0.0003435534,15,12,-0.006907616234042554,8.673617379884035e-19,0.94,0.006493159260000001,37.800000000000004,14000,False,False,False,False,False,"[2.2868392555313666e-05, 5.2324902405313095e-05]","[0, 1.375232083838048e-05]"
