id,center,mass,dl,ll,type,displacement,shape_file,contps
1,"[0.05260520650370746, 0.01989930932484192]",0.00028000000000000003,"[0, 0.7504000000000001, 0]","[10000.0, 0, 0]",beam,"[0.0001, 2.3413832798498817e-06, 5.1666751268249416e-05]",element_1.json,[]
2,"[0.0495, 0.0305]",0.00028000000000000003,"[0, 0.007141680000000001, 0]","[0, 0, 0]",ground,"[0.0, 0.0, 0.0]",element_2.json,[]
3,"[0.0011297168558801723, 0.020313172169427244]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.715205694707361e-05, -6.52315179154727e-05, 0.0005359572210251312]",element_3.json,[]
4,"[0.0008008825523572119, 0.019976375597556096]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.754023492460992e-05, -6.488583533323309e-05, -0.0006495862277321882]",element_4.json,[]
5,"[0.0021306052013535066, 0.020316709424604992]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.706353606489846e-05, -6.577753348244533e-05, 0.0002757191063044629]",element_5.json,[]
6,"[0.0018082212766264507, 0.019972701528643676]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.696842178306102e-05, -6.568394701827936e-05, 0.00029063291897069623]",element_6.json,[]
7,"[0.001475329233695545, 0.01999240347293365]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.697414781663942e-05, -6.558719763214022e-05, 0.0002906329189706978]",element_7.json,[]
8,"[0.0031319943213963947, 0.020317250529803276]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.706476134816777e-05, -6.601335817616843e-05, -1.1432700434178455e-05]",element_8.json,[]
9,"[0.002478951298738306, 0.019998376554231197]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.696633064265776e-05, -6.596938819568174e-05, 0.00027578628575386754]",element_9.json,[]
10,"[0.0028120962982472976, 0.019970475189186015]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.707219206112945e-05, -6.601354934006089e-05, -1.1432700430594186e-05]",element_10.json,[]
11,"[0.004132211123894865, 0.02031807848131229]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.352326922132879e-05, -7.256511097438845e-05, -0.0005870561041865678]",element_11.json,[]
12,"[0.0034732779522386906, 0.019989430488128387]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[8.614254360275996e-05, -6.485805569848918e-05, -0.0006886807552316773]",element_12.json,[]
13,"[0.0038066502494923313, 0.019976970803671636]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.372455209175819e-05, -7.275519995068946e-05, -0.0005870561155456652]",element_13.json,[]
14,"[0.005133524377356395, 0.02031840048667956]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.351134193781257e-05, -7.301131365006886e-05, -9.865260701172317e-18]",element_14.json,[]
15,"[0.004467837287560701, 0.019986738469394028]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.351134193781257e-05, -7.301131365006887e-05, -2.19637423871008e-17]",element_15.json,[]
16,"[0.004801128364897497, 0.019985277449295853]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.351134193781257e-05, -7.301131365006886e-05, -1.9275918539088926e-17]",element_16.json,[]
17,"[0.006133549499532745, 0.020318965411118856]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.348234672168916e-05, -7.3505517032779e-05, -9.273588250096576e-12]",element_17.json,[]
18,"[0.005467939180083057, 0.01998619074003747]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.348234672477515e-05, -7.35055170389516e-05, -9.273590178111029e-12]",element_18.json,[]
19,"[0.005801271919912528, 0.019984802031333734]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.348234672478805e-05, -7.35055170358604e-05, -9.273594626393134e-12]",element_19.json,[]
20,"[0.007133887301024417, 0.02031849318489116]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.329992903003822e-05, -7.290399882052175e-05, -2.3209013502049774e-07]",element_20.json,[]
21,"[0.006468046669090252, 0.019985837151297946]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.333199874686138e-05, -7.319286848598834e-05, -0.000482330797795545]",element_21.json,[]
22,"[0.006801342832527917, 0.019984665619379827]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.333256381278607e-05, -7.303210948157526e-05, -0.0004823307977955526]",element_22.json,[]
23,"[0.008133716286285248, 0.020318538584413806]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.317327977505749e-05, -7.279264641658407e-05, -6.273948221395255e-09]",element_23.json,[]
24,"[0.00746804721672967, 0.019985734054106308]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.317328186305588e-05, -7.279265059295735e-05, -6.273948228280412e-09]",element_24.json,[]
25,"[0.00780133385015089, 0.019984685496068553]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.317328186963448e-05, -7.279264850193426e-05, -6.273948237846555e-09]",element_25.json,[]
26,"[0.009133355779952956, 0.020318498180278498]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.307546262669509e-05, -7.270656543772952e-05, 2.8093632337860454e-18]",element_26.json,[]
27,"[0.008467758723504021, 0.0199857194895919]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.30754626266951e-05, -7.270656543772951e-05, 4.05810239437861e-19]",element_27.json,[]
28,"[0.00880109103663543, 0.019984876340551034]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.30754626266951e-05, -7.270656543772952e-05, -9.293531237127113e-20]",element_28.json,[]
29,"[0.010132813991793391, 0.020318458459736944]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.302234125598273e-05, -7.265997389834237e-05, 1.3237579792697504e-07]",element_29.json,[]
30,"[0.00946737894998595, 0.01998574885635427]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.302229721328348e-05, -7.265988581084772e-05, 1.3237579795337536e-07]",element_30.json,[]
31,"[0.009800651359248572, 0.019984974770552708]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.302229711081325e-05, -7.265992992804884e-05, 1.3237579795695323e-07]",element_31.json,[]
32,"[0.011132800676688306, 0.020318540934596684]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.28909680453914e-05, -7.262899568502854e-05, 1.3237579976735402e-07]",element_32.json,[]
33,"[0.010467310542540883, 0.019986031701451957]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.289092402921572e-05, -7.262890759023979e-05, 1.3237579974111633e-07]",element_33.json,[]
34,"[0.010800642785523864, 0.019984993866848638]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.289092389183153e-05, -7.262895171536205e-05, 1.3237579975369307e-07]",element_34.json,[]
35,"[0.012131400143663477, 0.020318094187481574]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.29180319227775e-05, -7.263588223367236e-05, 0.00010208125734474991]",element_35.json,[]
36,"[0.011466416839757666, 0.019986224774783897]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.289092405477396e-05, -7.262903984773493e-05, 1.3237579975358465e-07]",element_36.json,[]
37,"[0.011799639374110181, 0.01998497225662413]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.289092388897087e-05, -7.262908395833441e-05, 1.3237579975461464e-07]",element_37.json,[]
38,"[0.01312437213450297, 0.0203185648896268]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.245734593280413e-05, -7.247468826250534e-05, 0.0002601347963490352]",element_38.json,[]
39,"[0.01246576971540992, 0.019985694959946024]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.258169746077395e-05, -7.299571345677555e-05, 0.0006910391539038572]",element_39.json,[]
40,"[0.012799052153353252, 0.019976724372683104]",3.4999999999999996e-08,"[0, 6.180299999999999e-07, 0]","[0, 0, 0]",mortar,"[9.257549843374179e-05, -7.322602467070295e-05, 0.0006910391539038444]",element_40.json,[]
