id,x,y,nx,ny,t1x,t1y,candidate_id,antagonist_id,section_height,lever,face_id,counter_point,contact_type,mu,fc,ft,cohesion
3171,67.2594868,18.7531623,-0.3162278,0.9486833,0.9486833,0.3162278,531,159,0.7705694,0.3852847,1503,938,friction,0.7000000,0,0,0
939,67.9905132,18.9968377,0.3162278,-0.9486833,-0.9486833,-0.3162278,159,531,0.7705694,0.3852847,1502,3170,friction,0.7000000,0,0,0
3170,67.9905132,18.9968377,-0.3162278,0.9486833,-0.9486833,-0.3162278,531,159,0.7705694,0.3852847,1503,939,friction,0.7000000,0,0,0
940,67.9973037,18.9903704,-0.9629640,0.2696299,-0.2696299,-0.9629640,159,509,0.7912972,0.3956486,1506,3039,friction,0.7000000,0,0,0
3039,67.9973037,18.9903704,0.9629640,-0.2696299,-0.2696299,-0.9629640,509,159,0.7912972,0.3956486,1507,940,friction,0.7000000,0,0,0
941,67.7839463,18.2283796,-0.9629640,0.2696299,0.2696299,0.9629640,159,509,0.7912972,0.3956486,1506,3038,friction,0.7000000,0,0,0
3038,67.7839463,18.2283796,0.9629640,-0.2696299,0.2696299,0.9629640,509,159,0.7912972,0.3956486,1507,941,friction,0.7000000,0,0,0
943,72.1066108,18.9237372,0.9876260,0.1568273,0.1568273,-0.9876260,160,464,0.7292884,0.3646442,1518,2768,friction,0.7000000,0,0,0
2768,72.1066108,18.9237372,-0.9876260,-0.1568273,0.1568273,-0.9876260,464,160,0.7292884,0.3646442,1519,943,friction,0.7000000,0,0,0
944,72.1147151,18.9310755,-0.2537992,-0.9672569,0.9672569,-0.2537992,160,978,0.6841651,0.3420825,1512,5853,friction,0.7000000,0,0,0
5853,72.1147151,18.9310755,0.2537992,0.9672569,0.9672569,-0.2537992,978,160,0.6841651,0.3420825,1513,944,friction,0.7000000,0,0,0
945,72.7764786,18.7574349,-0.2537992,-0.9672569,-0.9672569,0.2537992,160,978,0.6841651,0.3420825,1512,5852,friction,0.7000000,0,0,0
5852,72.7764786,18.7574349,0.2537992,0.9672569,-0.9672569,0.2537992,978,160,0.6841651,0.3420825,1513,945,friction,0.7000000,0,0,0
